瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%)
236,何咯,2021-01-01,-6.2,1.6,.3,92.9
236,何咯,2021-01-02,-4.5,0,.9,77.3
236,何咯,2021-01-03,-5.1,,.4,75.9
236,何咯,2021-01-04,-3.5,,.9,72.6
236,何咯,2021-01-05,-3.4,.1,1.3,66
236,何咯,2021-01-06,-6,4,1.2,73.1
236,何咯,2021-01-07,-11.3,4,2.3,66.5
236,何咯,2021-01-08,-15.3,0,.7,73.3
236,何咯,2021-01-09,-13,0,.6,70.3
236,何咯,2021-01-10,-8.8,0,.7,67.9
236,何咯,2021-01-11,-6.5,,.6,72
236,何咯,2021-01-12,-3.4,2.2,.6,87.9
236,何咯,2021-01-13,.4,,.6,89.3
236,何咯,2021-01-14,1.7,,1,62.8
236,何咯,2021-01-15,3.7,,1.1,77.6
236,何咯,2021-01-16,-1.7,,2.2,61.5
236,何咯,2021-01-17,-3.6,.6,1.2,69.5
236,何咯,2021-01-18,-1.3,3.2,1.6,73.6
236,何咯,2021-01-19,-5.5,,1,55.5
236,何咯,2021-01-20,-1.8,,.6,63.4
236,何咯,2021-01-21,3.3,9.1,.5,79.5
236,何咯,2021-01-22,7.4,2.2,1,91.1
236,何咯,2021-01-23,9.2,,2.2,75.4
236,何咯,2021-01-24,8,,2.1,64.9
236,何咯,2021-01-25,6.3,,.9,75
236,何咯,2021-01-26,4.8,3.1,.6,89
236,何咯,2021-01-27,3.1,,1.2,51.4
236,何咯,2021-01-28,-1.5,2,2.4,64.5
236,何咯,2021-01-29,-5.2,,1.7,55.3
236,何咯,2021-01-30,-1,,.8,67.3
236,何咯,2021-01-31,2.5,,.6,75
236,何咯,2021-02-01,6.2,7.5,1.1,85.1
236,何咯,2021-02-02,-2.2,.2,2.2,48.3
236,何咯,2021-02-03,-2.2,.3,1.1,69.9
236,何咯,2021-02-04,-1,.6,1.3,54.6
236,何咯,2021-02-05,0,,.7,65
236,何咯,2021-02-06,5,0,1,79.6
236,何咯,2021-02-07,4.7,,1.3,72.6
236,何咯,2021-02-08,-2,,1.5,54.6
236,何咯,2021-02-09,-1.3,,.7,63.1
236,何咯,2021-02-10,1,,.7,77.6
236,何咯,2021-02-11,3.8,,.6,72.1
236,何咯,2021-02-12,5.2,,.5,65.6
236,何咯,2021-02-13,6,,.5,60.3
236,何咯,2021-02-14,7.6,.7,.5,74.4
236,何咯,2021-02-15,2.8,.1,2.7,67.5
236,何咯,2021-02-16,-3.4,7.3,1.2,74.5
236,何咯,2021-02-17,-5.7,,3,59.9
236,何咯,2021-02-18,-4.1,,2.1,61
236,何咯,2021-02-19,.9,,1.4,75.5
236,何咯,2021-02-20,8,,1.2,75.5
236,何咯,2021-02-21,9.6,,1.5,69.1
236,何咯,2021-02-22,8.3,,1.6,62.5
236,何咯,2021-02-23,1.3,,1.3,43.1
236,何咯,2021-02-24,3.1,,.8,46.5
236,何咯,2021-02-25,3.3,1.4,.6,71
236,何咯,2021-02-26,9.4,,1.8,44.1
236,何咯,2021-02-27,8.6,,2.7,49.4
236,何咯,2021-02-28,7.2,0,1.3,66.8
236,何咯,2021-03-01,8.7,54.4,1.1,96.3
236,何咯,2021-03-02,3.5,,1.4,73.4
236,何咯,2021-03-03,3.2,,.4,72.9
236,何咯,2021-03-04,5.1,1.6,.8,82.9
236,何咯,2021-03-05,8.9,,1.2,71.9
236,何咯,2021-03-06,7.7,,1.3,74.6
236,何咯,2021-03-07,7,,1.2,72.9
236,何咯,2021-03-08,6.3,,.8,76.9
236,何咯,2021-03-09,6,,.8,72.5
236,何咯,2021-03-10,7.2,,.7,62
236,何咯,2021-03-11,9.3,,.8,62.5
236,何咯,2021-03-12,7.9,2.2,.9,85.9
236,何咯,2021-03-13,8.5,,1,76
236,何咯,2021-03-14,7.9,,.7,79.3
236,何咯,2021-03-15,9.9,0,.9,74.4
236,何咯,2021-03-16,9.8,0,2,53.5
236,何咯,2021-03-17,7.4,,.9,59.1
236,何咯,2021-03-18,9.7,,.8,59.9
236,何咯,2021-03-19,13.4,,.9,54.4
236,何咯,2021-03-20,8.8,3.7,1.2,86.3
236,何咯,2021-03-21,6.5,,2.7,64.6
236,何咯,2021-03-22,5.7,,1.7,61
236,何咯,2021-03-23,7.4,,1.2,76.5
236,何咯,2021-03-24,8.5,,1,66.4
236,何咯,2021-03-25,10.5,,1,67.9
236,何咯,2021-03-26,11.8,,.7,61.8
236,何咯,2021-03-27,10.8,32.8,.6,86.9
236,何咯,2021-03-28,9.4,.8,2.1,95.3
236,何咯,2021-03-29,11.3,.2,1.3,64.6
236,何咯,2021-03-30,11.5,,1.2,45.3
236,何咯,2021-03-31,12.5,,.8,53.6
236,何咯,2021-04-01,14.7,,2.3,46.5
236,何咯,2021-04-02,17.6,,1.6,45.6
236,何咯,2021-04-03,15.9,17.1,1,86.5
236,何咯,2021-04-04,11.7,2.4,1.2,84.9
236,何咯,2021-04-05,11.6,,1.5,49.5
236,何咯,2021-04-06,11.9,,1.3,55.9
236,何咯,2021-04-07,12.4,,1.1,57.1
236,何咯,2021-04-08,11.7,,1.2,52
236,何咯,2021-04-09,11.7,,1.3,50.4
236,何咯,2021-04-10,12,,1.1,60
236,何咯,2021-04-11,14,,.7,60
236,何咯,2021-04-12,13.2,20.5,1.3,85
236,何咯,2021-04-13,9.9,.4,2.4,75.3
236,何咯,2021-04-14,7.9,,1.4,59.3
236,何咯,2021-04-15,9.6,,.8,58.5
236,何咯,2021-04-16,10.4,0,1,83.4
236,何咯,2021-04-17,9.4,,2.1,60.1
236,何咯,2021-04-18,10.4,,1.9,60.3
236,何咯,2021-04-19,10.8,,1.2,69.3
236,何咯,2021-04-20,13.8,,.9,62.3
236,何咯,2021-04-21,17.6,,1,50.5
236,何咯,2021-04-22,20.5,,1.4,38.4
236,何咯,2021-04-23,19.5,0,2,35.5
236,何咯,2021-04-24,17.1,,1.4,41.4
236,何咯,2021-04-25,16.5,,1.2,62.3
236,何咯,2021-04-26,15.1,,1,64.1
236,何咯,2021-04-27,15,,1,65.9
236,何咯,2021-04-28,15.5,.1,1.2,67
236,何咯,2021-04-29,14.2,1.8,1.8,70.5
236,何咯,2021-04-30,12,0,2.7,77.5
236,何咯,2021-05-01,10.3,.2,2,75.6
236,何咯,2021-05-02,12.3,.3,1.7,66.5
236,何咯,2021-05-03,13.2,,1,67.3
236,何咯,2021-05-04,15.9,9.2,1.5,79.9
236,何咯,2021-05-05,13.4,,2,67.5
236,何咯,2021-05-06,13.5,,.9,60.3
236,何咯,2021-05-07,13.5,2.4,1.8,67.4
236,何咯,2021-05-08,14.2,,2,70
236,何咯,2021-05-09,14.6,,1.3,63.5
236,何咯,2021-05-10,11.9,10.4,1.1,88.4
236,何咯,2021-05-11,15.7,6.6,1.8,75.6
236,何咯,2021-05-12,19.9,,1.7,52
236,何咯,2021-05-13,20.7,,.8,69.3
236,何咯,2021-05-14,21.7,0,.9,71
236,何咯,2021-05-15,21.4,2.7,.8,91.5
236,何咯,2021-05-16,20.1,39.1,1.5,98.1
236,何咯,2021-05-17,15.8,2.1,1.3,93.8
236,何咯,2021-05-18,17.9,,.9,80.3
236,何咯,2021-05-19,19.5,,.8,65.4
236,何咯,2021-05-20,16.7,8.6,1.5,84.9
236,何咯,2021-05-21,14.9,0,1.6,89
236,何咯,2021-05-22,17.3,,1.1,78
236,何咯,2021-05-23,19.1,,.7,71.9
236,何咯,2021-05-24,19.3,0,1.2,62.1
236,何咯,2021-05-25,15.9,1.8,1.8,74.3
236,何咯,2021-05-26,16.3,0,.7,76.9
236,何咯,2021-05-27,16.2,1.5,1.4,83.6
236,何咯,2021-05-28,15.5,29.7,1.6,84.5
236,何咯,2021-05-29,17.4,,1.2,71.1
236,何咯,2021-05-30,19.7,4.4,1.2,68
236,何咯,2021-05-31,19.3,17.9,.9,72.5
236,何咯,2021-06-01,21.1,,.9,67
236,何咯,2021-06-02,23.1,,1,64.3
236,何咯,2021-06-03,17.8,18.7,.6,94.1
236,何咯,2021-06-04,17.9,0,1.5,77.5
236,何咯,2021-06-05,20.2,,1.9,77.1
236,何咯,2021-06-06,21.3,0,1.4,73.4
236,何咯,2021-06-07,21.6,,.8,66.1
236,何咯,2021-06-08,23.1,,.7,73.9
236,何咯,2021-06-09,25.4,,.8,72.1
236,何咯,2021-06-10,24.1,13.6,1.7,74.1
236,何咯,2021-06-11,23,18.3,1.7,83.1
236,何咯,2021-06-12,24.2,,1.1,78.4
236,何咯,2021-06-13,22.4,,1.2,86.4
236,何咯,2021-06-14,22.5,,1,84.6
236,何咯,2021-06-15,22.1,2.2,1.1,85.1
236,何咯,2021-06-16,23.8,,2.2,65.8
236,何咯,2021-06-17,21,.3,.9,81.9
236,何咯,2021-06-18,20.3,3.2,1,94.4
236,何咯,2021-06-19,21.7,,.9,79
236,何咯,2021-06-20,23.2,,1.7,75.6
236,何咯,2021-06-21,23,,1.1,73
236,何咯,2021-06-22,21.9,0,.9,72.9
236,何咯,2021-06-23,20.6,9.6,1.1,88
236,何咯,2021-06-24,22.3,,.9,80.3
236,何咯,2021-06-25,23.1,.1,1,76.8
236,何咯,2021-06-26,22.8,10,1,83.9
236,何咯,2021-06-27,24.1,0,1,77.6
236,何咯,2021-06-28,23.7,,.7,80.3
236,何咯,2021-06-29,23.3,.9,.8,84
236,何咯,2021-06-30,24.5,,.8,78.9
236,何咯,2021-07-01,26.1,,1,74.9
236,何咯,2021-07-02,26.8,,1.1,71.3
236,何咯,2021-07-03,23.7,55.3,2.2,82.9
236,何咯,2021-07-04,22.2,5.6,2.8,93.6
236,何咯,2021-07-05,21.6,5.2,.9,91
236,何咯,2021-07-06,22.9,24.7,.8,95
236,何咯,2021-07-07,25.4,5.6,.9,93.3
236,何咯,2021-07-08,25.2,46.1,1.1,87.1
236,何咯,2021-07-09,25.5,10.3,1,82.6
236,何咯,2021-07-10,26.3,,1.3,82.6
236,何咯,2021-07-11,26,,.9,86.9
236,何咯,2021-07-12,27.7,,.6,84.4
236,何咯,2021-07-13,27.8,,1.1,80.3
236,何咯,2021-07-14,27.7,,1,81.3
236,何咯,2021-07-15,28.5,,.8,75.8
236,何咯,2021-07-16,26.5,11.7,1,80.1
236,何咯,2021-07-17,25.1,8.8,1.2,84.5
236,何咯,2021-07-18,25.6,12.6,1,83.8
236,何咯,2021-07-19,25.8,,.8,83.4
236,何咯,2021-07-20,27.1,,.7,85.4
236,何咯,2021-07-21,29,,1.4,69.5
236,何咯,2021-07-22,28.2,,1.4,69.8
236,何咯,2021-07-23,28.3,,.9,72.4
236,何咯,2021-07-24,28.9,,.9,72.6
236,何咯,2021-07-25,28.2,,1,73.3
236,何咯,2021-07-26,28.2,,1.1,70.6
236,何咯,2021-07-27,28.4,,1.1,71.4
236,何咯,2021-07-28,28.1,,.9,78
236,何咯,2021-07-29,28.6,,1,74.9
236,何咯,2021-07-30,28.3,1.8,1.2,77.4
236,何咯,2021-07-31,28.3,0,1,78.1
236,何咯,2021-08-01,25.3,13,.7,93.3
236,何咯,2021-08-02,25.5,15.3,.6,93.1
236,何咯,2021-08-03,27.1,.2,.9,85
236,何咯,2021-08-04,28.1,,.8,77.6
236,何咯,2021-08-05,28.7,,.9,74.5
236,何咯,2021-08-06,27.7,,1.1,76.8
236,何咯,2021-08-07,27.4,,1.1,72.1
236,何咯,2021-08-08,26.2,,1.1,80.8
236,何咯,2021-08-09,27.2,,1,72.6
236,何咯,2021-08-10,27.1,,1.2,76.9
236,何咯,2021-08-11,26.9,,.9,75.3
236,何咯,2021-08-12,25.5,.9,1,81.8
236,何咯,2021-08-13,25.3,0,1,83.4
236,何咯,2021-08-14,25.2,0,1.3,78.8
236,何咯,2021-08-15,26,,1.4,69.8
236,何咯,2021-08-16,26.1,,1.7,67.3
236,何咯,2021-08-17,25.4,0,1.8,66.1
236,何咯,2021-08-18,24.6,0,2.2,72.1
236,何咯,2021-08-19,24.6,.7,1.7,74.8
236,何咯,2021-08-20,25.7,,1.2,72.8
236,何咯,2021-08-21,24.2,39.1,1.8,87
236,何咯,2021-08-22,24.7,,1.1,86.4
236,何咯,2021-08-23,22.2,48,1.3,97.6
236,何咯,2021-08-24,24.4,20.1,1.8,91.6
236,何咯,2021-08-25,23.2,39.7,.6,98.1
236,何咯,2021-08-26,24.8,,.9,89.5
236,何咯,2021-08-27,21.3,13.3,.7,97.9
236,何咯,2021-08-28,22.7,0,.9,87.4
236,何咯,2021-08-29,22.4,32.6,1.1,84.1
236,何咯,2021-08-30,22.3,0,.8,90.9
236,何咯,2021-08-31,23.6,4.7,1.1,87.1
236,何咯,2021-09-01,23.9,46.1,1.7,89.5
236,何咯,2021-09-02,22.7,0,1.2,85.5
236,何咯,2021-09-03,23.1,,1.4,77.5
236,何咯,2021-09-04,22.6,,1.7,74.1
236,何咯,2021-09-05,21,.5,1.4,84
236,何咯,2021-09-06,20.3,35.8,1.6,91.1
236,何咯,2021-09-07,20.8,4.6,1.2,93.6
236,何咯,2021-09-08,22.2,.2,.9,81.9
236,何咯,2021-09-09,21.1,,.4,87.3
