瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%)
143,措备,2017-01-01,3.4,,1,73.3
143,措备,2017-01-02,5.3,,1.4,73.4
143,措备,2017-01-03,5.2,,2,49.8
143,措备,2017-01-04,3.9,,1.1,66
143,措备,2017-01-05,3.4,,2,80
143,措备,2017-01-06,4.9,,1.3,71.9
143,措备,2017-01-07,3.3,,.5,75.9
143,措备,2017-01-08,7.4,,.6,70.1
143,措备,2017-01-09,6.2,,3.7,49.8
143,措备,2017-01-10,1.7,,4.3,45
143,措备,2017-01-11,-.7,,4.2,37.6
143,措备,2017-01-12,1.2,,2.8,50.6
143,措备,2017-01-13,-.6,0,4,40.6
143,措备,2017-01-14,-4.3,,5.3,35.1
143,措备,2017-01-15,-3.3,,3.6,26.1
143,措备,2017-01-16,-1.4,,1.7,41.8
143,措备,2017-01-17,-1,,.9,49.4
143,措备,2017-01-18,2.1,,2,48.6
143,措备,2017-01-19,1.2,,.8,67.3
143,措备,2017-01-20,-.7,.7,3.9,61.3
143,措备,2017-01-21,-1.3,,2.2,55.6
143,措备,2017-01-22,-2.7,1.5,5,55.3
143,措备,2017-01-23,-4.4,,4,43.1
143,措备,2017-01-24,-2.6,,2.9,41
143,措备,2017-01-25,-2.2,,1.9,43.8
143,措备,2017-01-26,-.3,,1.2,41
143,措备,2017-01-27,3.7,0,3.3,28.5
143,措备,2017-01-28,2,,1.5,31.4
143,措备,2017-01-29,3.9,.2,.9,53.5
143,措备,2017-01-30,.8,.1,4.7,47.8
143,措备,2017-01-31,-.6,,2.1,39.1
143,措备,2017-02-01,.8,,4.6,31.4
143,措备,2017-02-02,1.3,,4.2,24.9
143,措备,2017-02-03,4.3,,2.7,42.6
143,措备,2017-02-04,6.5,0,.9,36.4
143,措备,2017-02-05,6.1,.6,2.7,66.8
143,措备,2017-02-06,2.4,,4.4,40
143,措备,2017-02-07,1.8,,1.2,47.9
143,措备,2017-02-08,2.4,,1.9,49.9
