瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%)
184,力林,2017-01-01,9.9,,2,66.4
184,力林,2017-01-02,11.3,.9,1.6,79.6
184,力林,2017-01-03,9.1,,2.2,66.8
184,力林,2017-01-04,8.9,,1.9,64.5
184,力林,2017-01-05,11.1,9.8,2.4,78.5
184,力林,2017-01-06,11.5,2,3.1,70.9
184,力林,2017-01-07,11.3,13.5,2.4,83.8
184,力林,2017-01-08,10.9,17.2,3.5,79.3
184,力林,2017-01-09,8.1,0,5.5,65.4
184,力林,2017-01-10,6.4,,4.5,61.4
184,力林,2017-01-11,4.6,0,4,58
184,力林,2017-01-12,7.4,0,4.1,59.9
184,力林,2017-01-13,6.5,0,5.6,54.6
184,力林,2017-01-14,3.3,0,5.5,61.4
184,力林,2017-01-15,2.8,,4.5,59.6
184,力林,2017-01-16,4.3,,3.4,57.8
184,力林,2017-01-17,5.1,,2,64.5
184,力林,2017-01-18,6.5,,2.6,63
184,力林,2017-01-19,6.2,,2.4,64.1
184,力林,2017-01-20,3.9,.2,8.2,61.8
184,力林,2017-01-21,4.6,0,3.6,59.5
184,力林,2017-01-22,3.6,.8,6.9,64.6
184,力林,2017-01-23,2.1,0,5.6,65.3
184,力林,2017-01-24,3.5,0,4.3,57.5
184,力林,2017-01-25,3.7,,2.6,61
184,力林,2017-01-26,5.4,,2.1,64.3
184,力林,2017-01-27,6.8,,3.6,58.3
184,力林,2017-01-28,7.1,,2.2,62.3
184,力林,2017-01-29,11.8,2.9,2.2,87.9
184,力林,2017-01-30,3.9,3.4,5.8,66.4
184,力林,2017-01-31,3.2,,3,64.1
184,力林,2017-02-01,4.1,0,4.1,61.3
184,力林,2017-02-02,4.2,,2.1,57.3
184,力林,2017-02-03,6.2,,1.6,57
184,力林,2017-02-04,10.1,2.5,1.3,68.5
184,力林,2017-02-05,9.1,2.5,5.4,75.1
184,力林,2017-02-06,5.3,,5,59.9
184,力林,2017-02-07,5.6,,2.2,56.6
184,力林,2017-02-08,5.4,.2,3.1,68.6
184,力林,2017-02-09,2.7,.9,7.7,68.3
184,力林,2017-02-10,1.6,3.7,7.6,71.8
184,力林,2017-02-11,3,2.2,6.9,67.1
184,力林,2017-02-12,4.8,,4.1,55.1
184,力林,2017-02-13,6.8,,2.6,48.9
184,力林,2017-02-14,7.1,,3.9,57.6
184,力林,2017-02-15,6.9,,1.8,60.5
184,力林,2017-02-16,13.4,0,4.4,59.6
184,力林,2017-02-17,9.5,0,4.6,67.4
184,力林,2017-02-18,4.6,,3.9,54.8
184,力林,2017-02-19,10.1,,3.5,47.5
184,力林,2017-02-20,8,.6,6.1,70.8
184,力林,2017-02-21,7.6,,3.4,61.1
184,力林,2017-02-22,10.6,26.5,3.9,84
184,力林,2017-02-23,5,,5.9,62.9
184,力林,2017-02-24,5.1,,3.7,53.6
184,力林,2017-02-25,8.2,,3.6,55.4
184,力林,2017-02-26,8.3,,1.9,54.8
184,力林,2017-02-27,7.1,,2.1,61.4
184,力林,2017-02-28,8.7,,1.8,48.1
184,力林,2017-03-01,10.7,1.1,3.6,56.6
184,力林,2017-03-02,5.7,,6.7,58.9
184,力林,2017-03-03,7.4,,1.9,55.6
184,力林,2017-03-04,10.4,,1.8,64.8
184,力林,2017-03-05,10,,2.2,68.1
184,力林,2017-03-06,6.3,,4.8,50.5
184,力林,2017-03-07,5,.2,4.8,57.8
184,力林,2017-03-08,6.1,0,6.3,53
184,力林,2017-03-09,9.8,,5.7,43.3
184,力林,2017-03-10,10.2,,2.6,41.5
184,力林,2017-03-11,11.1,,2.3,34.5
184,力林,2017-03-12,13,,2.6,45.4
184,力林,2017-03-13,10.4,0,2.8,61.5
184,力林,2017-03-14,8.9,,4.3,53
184,力林,2017-03-15,8.3,,3.4,52.6
184,力林,2017-03-16,8.7,,2,63.4
184,力林,2017-03-17,9.4,,2,49.8
184,力林,2017-03-18,10.7,,2,57.8
184,力林,2017-03-19,12.7,,2.8,50.4
184,力林,2017-03-20,11.8,23,3.4,83
184,力林,2017-03-21,9.3,.9,5.6,63.1
184,力林,2017-03-22,9.2,,1.7,61.8
184,力林,2017-03-23,10,6.4,2,68.1
184,力林,2017-03-24,11.3,0,2.3,63.5
184,力林,2017-03-25,9.9,2.9,2.7,80.9
184,力林,2017-03-26,8.7,0,3.2,71.8
184,力林,2017-03-27,10.2,,4.9,61
184,力林,2017-03-28,11.7,.3,2.6,55.4
184,力林,2017-03-29,14.4,0,3.2,77.9
184,力林,2017-03-30,12.8,,2.1,69
184,力林,2017-03-31,10.7,13.4,3.2,78.3
184,力林,2017-04-01,10.6,,3.7,70.1
184,力林,2017-04-02,12,0,2.7,47.8
184,力林,2017-04-03,13.6,,2.8,40.5
184,力林,2017-04-04,14.5,,1.9,57.6
184,力林,2017-04-05,18.6,.4,3.6,60.9
184,力林,2017-04-06,16.6,17.4,3.8,90.3
184,力林,2017-04-07,14.8,,2.5,88.4
184,力林,2017-04-08,14.4,,3,86.3
