瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%)
146,傈林,2017-01-01,4.8,,1.4,75.1
146,傈林,2017-01-02,6.1,,1.6,81.9
146,傈林,2017-01-03,3.3,,1.2,77.9
146,傈林,2017-01-04,4.1,,1.3,81.6
146,傈林,2017-01-05,5.6,,1,72.5
146,傈林,2017-01-06,7.9,0,1.5,61.9
146,傈林,2017-01-07,5.9,,1,71.4
146,傈林,2017-01-08,8.3,0,1.7,68.9
146,傈林,2017-01-09,4.4,0,3.2,71.4
146,傈林,2017-01-10,.8,,2.2,65.5
146,傈林,2017-01-11,-1.8,0,1.5,61.4
146,傈林,2017-01-12,1.7,0,2.5,69.6
146,傈林,2017-01-13,-1.6,.5,2.1,65.4
146,傈林,2017-01-14,-4.4,,3.2,50
146,傈林,2017-01-15,-4.9,,1.5,53.3
146,傈林,2017-01-16,-2.5,,1.6,55.8
146,傈林,2017-01-17,-1.3,,1.1,53.1
146,傈林,2017-01-18,.9,,1.4,60.9
146,傈林,2017-01-19,.3,,1.3,70.4
146,傈林,2017-01-20,-1.2,1.6,3.4,74.1
146,傈林,2017-01-21,-1.4,1.1,1.7,80
146,傈林,2017-01-22,-3.2,0,3.2,67.9
146,傈林,2017-01-23,-5.1,0,2,62.6
146,傈林,2017-01-24,-3.7,,1.7,66.9
146,傈林,2017-01-25,-2.9,,1.5,64.5
146,傈林,2017-01-26,-.1,,1.6,59
146,傈林,2017-01-27,1.8,1.2,2.8,62.3
146,傈林,2017-01-28,2,,1.2,52.6
146,傈林,2017-01-29,4.6,7.5,1.4,81.5
146,傈林,2017-01-30,-1.1,1.5,3.1,64.9
146,傈林,2017-01-31,-2.7,,1.3,56.9
146,傈林,2017-02-01,-1.3,,2.1,53.9
146,傈林,2017-02-02,-1.3,,1.3,56.4
146,傈林,2017-02-03,2,,1.3,67.1
146,傈林,2017-02-04,5.1,0,1,60.9
146,傈林,2017-02-05,4.3,2.1,2.3,81.6
146,傈林,2017-02-06,.6,,2.7,61.3
146,傈林,2017-02-07,.2,,1.3,62.5
146,傈林,2017-02-08,.8,0,1.8,67.5
146,傈林,2017-02-09,-2.3,0,3.5,57
146,傈林,2017-02-10,-3.6,0,3.2,56.8
146,傈林,2017-02-11,-1.9,0,2.6,58.8
146,傈林,2017-02-12,.5,0,1.8,60.9
146,傈林,2017-02-13,2.3,0,1.8,71
146,傈林,2017-02-14,2.1,,1.8,59.1
146,傈林,2017-02-15,3.2,,1.3,49.6
146,傈林,2017-02-16,9.1,3.7,2,61.3
146,傈林,2017-02-17,3.7,3.3,3.5,78.1
146,傈林,2017-02-18,-.6,,2.3,54.9
146,傈林,2017-02-19,4.7,4.3,2.3,57.1
146,傈林,2017-02-20,2,17.3,4.5,74
146,傈林,2017-02-21,1.1,,1.3,55.3
146,傈林,2017-02-22,5.3,21.9,1.7,84.6
146,傈林,2017-02-23,.8,,3.4,68.8
146,傈林,2017-02-24,.6,,1.8,57.8
146,傈林,2017-02-25,3.5,,1.9,54.3
146,傈林,2017-02-26,3.8,,1.6,63.8
146,傈林,2017-02-27,3.9,,1.5,59.3
146,傈林,2017-02-28,5.4,,1.7,51
146,傈林,2017-03-01,7,2,1.7,55.4
146,傈林,2017-03-02,2.1,6.7,3.6,73.1
146,傈林,2017-03-03,3.9,,1.7,55.8
146,傈林,2017-03-04,5.9,,1.6,52.6
146,傈林,2017-03-05,5.9,,1.7,61.5
146,傈林,2017-03-06,2.5,,3.7,50
146,傈林,2017-03-07,-.4,1.9,2.9,62.8
146,傈林,2017-03-08,1.6,0,2.5,69.9
146,傈林,2017-03-09,5.3,,3.3,62
146,傈林,2017-03-10,5.5,,1.9,51.1
146,傈林,2017-03-11,7.7,,1.6,37.5
146,傈林,2017-03-12,8.6,,1.7,42.9
146,傈林,2017-03-13,7.2,,1.9,66.5
146,傈林,2017-03-14,5.2,,2.4,59.1
146,傈林,2017-03-15,5.1,,1.8,51.9
146,傈林,2017-03-16,5.4,,1.7,52.8
146,傈林,2017-03-17,6.9,,1.7,50.6
146,傈林,2017-03-18,9,,1.4,39.1
146,傈林,2017-03-19,9.9,,1.6,43.1
146,傈林,2017-03-20,8.5,3.5,1.4,67.3
146,傈林,2017-03-21,6.5,.7,2.9,70.5
146,傈林,2017-03-22,6.3,,1.6,56.9
146,傈林,2017-03-23,8.3,,1.6,57.8
146,傈林,2017-03-24,8.4,,1.4,55
146,傈林,2017-03-25,7.1,2.9,1.2,74.5
146,傈林,2017-03-26,6.7,,1.9,69.5
146,傈林,2017-03-27,6.9,0,2.3,76.8
146,傈林,2017-03-28,7.8,3.2,1.9,60.3
146,傈林,2017-03-29,9.3,1.6,1.4,73.6
146,傈林,2017-03-30,10.6,,1.5,64.5
146,傈林,2017-03-31,9.8,1.6,1.7,75.9
146,傈林,2017-04-01,8.2,2.2,2.1,76.6
146,傈林,2017-04-02,8,,2.2,65.4
146,傈林,2017-04-03,10.7,,1.9,47.1
146,傈林,2017-04-04,14,,1.8,37.5
146,傈林,2017-04-05,14.5,9.9,2.2,77.3
146,傈林,2017-04-06,12.3,7.6,1.2,96.6
146,傈林,2017-04-07,13.6,,1.3,79.6
146,傈林,2017-04-08,12.5,,1.4,83.4
146,傈林,2017-04-09,14.3,,1.6,72.4
146,傈林,2017-04-10,16.4,0,2.2,39.4
146,傈林,2017-04-11,11.2,12.2,2.5,76
146,傈林,2017-04-12,11.3,,2.5,40.9
146,傈林,2017-04-13,13.2,,2.4,50
146,傈林,2017-04-14,16.2,0,3.2,47.1
146,傈林,2017-04-15,18.2,0,2.1,63.3
146,傈林,2017-04-16,17.6,,1.5,67.4
146,傈林,2017-04-17,14.1,18.2,1.4,83.9
146,傈林,2017-04-18,13.9,.1,2.7,79.6
146,傈林,2017-04-19,12.7,,2.6,56.1
146,傈林,2017-04-20,11.7,2.9,.9,65.9
146,傈林,2017-04-21,12.7,,1.5,73.3
146,傈林,2017-04-22,13.3,,1.7,67.3
146,傈林,2017-04-23,14.4,,1.8,56.4
146,傈林,2017-04-24,16,,2.1,48.5
146,傈林,2017-04-25,17.3,4,2,69.1
146,傈林,2017-04-26,15,.7,2.1,58.9
146,傈林,2017-04-27,12.7,,2.4,47.4
146,傈林,2017-04-28,15.4,,3.1,50.9
146,傈林,2017-04-29,18,,2.1,46.8
146,傈林,2017-04-30,19.9,,2.5,55.9
146,傈林,2017-05-01,19.1,,1.7,64.4
146,傈林,2017-05-02,19.7,,1.4,58.5
146,傈林,2017-05-03,20.4,,1.6,55.9
146,傈林,2017-05-04,20.7,0,1.4,59.6
146,傈林,2017-05-05,19.1,9,1.3,78.9
146,傈林,2017-05-06,15.7,,2.2,49.4
146,傈林,2017-05-07,16.4,,2.6,59
146,傈林,2017-05-08,17.8,,1.4,51
146,傈林,2017-05-09,14.6,18.1,1.4,86.5
