지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
168,여수,2020-01-01,1.2,,4.4,51.1
168,여수,2020-01-02,4.3,,3.5,58.9
168,여수,2020-01-03,6,,6.3,55.8
168,여수,2020-01-04,5.3,,4.8,55
168,여수,2020-01-05,5.7,,1.7,55.6
168,여수,2020-01-06,6.9,13.6,6.2,78.4
168,여수,2020-01-07,12.5,28.6,5.9,95.3
168,여수,2020-01-08,6.4,.2,8.3,71.3
168,여수,2020-01-09,4.5,,7.4,55.5
168,여수,2020-01-10,4.3,,2.5,56.9
168,여수,2020-01-11,5.4,,4,52.4
168,여수,2020-01-12,4.1,,8,53.9
168,여수,2020-01-13,3.3,,5.5,54.4
168,여수,2020-01-14,2.3,0,2.7,56.3
168,여수,2020-01-15,2.7,,4.4,50.6
168,여수,2020-01-16,3.7,,2.2,44
168,여수,2020-01-17,5.4,,3.2,32.1
168,여수,2020-01-18,4.9,,6.4,35.4
168,여수,2020-01-19,4.8,,5,62.4
168,여수,2020-01-20,4.9,,4.2,55.8
168,여수,2020-01-21,3.9,,3.6,47
168,여수,2020-01-22,6.3,19.6,6.2,82.3
168,여수,2020-01-23,8.6,.9,3.4,94
168,여수,2020-01-24,9,,2.8,62.8
168,여수,2020-01-25,8.8,,4.9,72.6
168,여수,2020-01-26,8.9,0,5.9,66.5
168,여수,2020-01-27,6.8,15,8,83.6
168,여수,2020-01-28,9.1,,2.8,64.9
168,여수,2020-01-29,7.5,3.1,2.1,80
168,여수,2020-01-30,6.4,.3,3.3,73.1
168,여수,2020-01-31,5.2,,5.3,63.5
168,여수,2020-02-01,5.3,,5.6,58.5
168,여수,2020-02-02,5.9,,3.9,55.6
168,여수,2020-02-03,4.5,,5.8,53
168,여수,2020-02-04,3.8,,3.6,46.9
168,여수,2020-02-05,.7,,7.4,39
168,여수,2020-02-06,0,,3.6,32
168,여수,2020-02-07,4.2,,4,38.8
168,여수,2020-02-08,4.1,,6.6,47.6
168,여수,2020-02-09,3.5,,4.6,47
168,여수,2020-02-10,7.2,,3.1,57.3
168,여수,2020-02-11,9,0,2.6,63.3
168,여수,2020-02-12,10.4,36.5,3.9,96
168,여수,2020-02-13,10,,3.4,85.5
168,여수,2020-02-14,10.4,,1.1,82.3
168,여수,2020-02-15,12.1,1.2,3.1,75
168,여수,2020-02-16,4.1,5,8.1,70.5
