지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
168,여수,2019-01-01,1.6,,5.9,56.1
168,여수,2019-01-02,1.1,,6.7,53.6
168,여수,2019-01-03,2.2,,3.3,46.4
168,여수,2019-01-04,3.1,0,2,50
168,여수,2019-01-05,5.1,,3.8,44.9
168,여수,2019-01-06,3.8,,4.1,32
168,여수,2019-01-07,3.9,,4.3,40.6
168,여수,2019-01-08,2.8,,6.4,47.3
168,여수,2019-01-09,1,,3.7,46.1
168,여수,2019-01-10,4.4,,5.1,42.1
168,여수,2019-01-11,4.9,0,3,57.4
168,여수,2019-01-12,6.3,.9,3.4,75.5
168,여수,2019-01-13,5.6,,2.2,62.5
168,여수,2019-01-14,4.9,,1.7,59
168,여수,2019-01-15,4.3,,5,56.9
168,여수,2019-01-16,-.5,,6.7,37.6
168,여수,2019-01-17,2.6,,5.7,52.8
168,여수,2019-01-18,4.3,,2.8,50.4
168,여수,2019-01-19,5.8,.1,1,72.3
168,여수,2019-01-20,4,0,6.6,50.6
168,여수,2019-01-21,3.1,,6.1,51.1
168,여수,2019-01-22,6.1,,4.4,48.8
168,여수,2019-01-23,6.7,,4.7,51.6
168,여수,2019-01-24,4.2,,2.6,45
168,여수,2019-01-25,3.3,,4.8,40
168,여수,2019-01-26,.4,,6.8,36.4
168,여수,2019-01-27,2.3,,3.1,49.1
168,여수,2019-01-28,5,,6.3,49.4
168,여수,2019-01-29,3.2,,2.8,46
168,여수,2019-01-30,6.7,,2.1,49.9
168,여수,2019-01-31,2,11.9,5.1,73.9
168,여수,2019-02-01,.5,,5.5,59
168,여수,2019-02-02,4.5,,2.7,64.3
168,여수,2019-02-03,8.5,12.2,4.3,89.9
168,여수,2019-02-04,6,,3.3,43.9
168,여수,2019-02-05,6.2,,2.7,41.6
168,여수,2019-02-06,8.2,,2.1,52.1
168,여수,2019-02-07,6,0,5.8,52.3
168,여수,2019-02-08,2.5,,3,33.9
168,여수,2019-02-09,1.2,,7,35.8
168,여수,2019-02-10,2.5,,3.9,39.4
168,여수,2019-02-11,1.3,,7.9,44
168,여수,2019-02-12,3,,1.8,48.8
168,여수,2019-02-13,4.6,,4.1,42.3
168,여수,2019-02-14,4.3,,3.1,42.1
168,여수,2019-02-15,5.5,,3.2,53.1
168,여수,2019-02-16,2,,7.4,52
168,여수,2019-02-17,2.7,,4.8,39.8
168,여수,2019-02-18,4.7,.1,1.8,47.6
168,여수,2019-02-19,6,33,5.6,89.5
168,여수,2019-02-20,5.4,,5.8,57.9
168,여수,2019-02-21,5.7,,2.4,58.5
168,여수,2019-02-22,7.8,,2.2,58.3
168,여수,2019-02-23,8.4,,3.1,60.8
168,여수,2019-02-24,8.9,,3,62.3
168,여수,2019-02-25,9.4,,2.6,52.4
168,여수,2019-02-26,8.8,,1.7,55.1
168,여수,2019-02-27,9.4,1.1,3.5,72.3
168,여수,2019-02-28,10.2,0,2.7,61.5
168,여수,2019-03-01,9.3,,3,49.4
168,여수,2019-03-02,10.3,,4.2,54.9
168,여수,2019-03-03,11.2,.3,3.3,58.6
168,여수,2019-03-04,12.1,,2.9,48.9
168,여수,2019-03-05,10.5,,2,56.8
168,여수,2019-03-06,10.1,3.4,3.3,67.3
168,여수,2019-03-07,9.4,,6.3,54.5
168,여수,2019-03-08,8.8,,2.3,57.3
168,여수,2019-03-09,10.4,0,1.7,64.6
168,여수,2019-03-10,8.4,19.8,7.6,85.4
168,여수,2019-03-11,8.7,5.1,5,68.8
