지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
133,대전,2018-01-01,-.7,,1,60
133,대전,2018-01-02,-1,,.9,73.6
133,대전,2018-01-03,-2.4,,1.4,53.1
133,대전,2018-01-04,-2.9,,1,55.5
133,대전,2018-01-05,-.9,,1.1,58.5
133,대전,2018-01-06,-.7,,1.1,64.1
133,대전,2018-01-07,-1.4,,.8,69.9
133,대전,2018-01-08,1.5,3.6,1.1,83
133,대전,2018-01-09,-1.5,2.5,2.1,79.6
133,대전,2018-01-10,-5.1,2.6,1.5,78.6
133,대전,2018-01-11,-9.3,0,1.5,75.4
133,대전,2018-01-12,-8.4,0,1.3,61.5
133,대전,2018-01-13,-2.2,.1,.7,75.9
133,대전,2018-01-14,-.4,,.9,79
133,대전,2018-01-15,5.5,,1.2,75
133,대전,2018-01-16,3.6,3.1,.9,87.5
133,대전,2018-01-17,4.2,11.2,1,94.3
133,대전,2018-01-18,3.7,0,1.2,78.8
133,대전,2018-01-19,.3,,.9,63.3
133,대전,2018-01-20,.8,,1,72.9
133,대전,2018-01-21,1.1,,.9,67.1
133,대전,2018-01-22,3,.8,1.6,63.6
133,대전,2018-01-23,-7.3,0,2.8,52.8
133,대전,2018-01-24,-11.7,,2,48.4
133,대전,2018-01-25,-10.9,,1.9,51.6
133,대전,2018-01-26,-11.8,,1.8,59.4
133,대전,2018-01-27,-8.5,,1,52.6
133,대전,2018-01-28,-3.5,,1.8,44.1
133,대전,2018-01-29,-6.8,,1.9,52.5
133,대전,2018-01-30,-4.4,,1.4,63.6
133,대전,2018-01-31,-.1,,1.4,52.1
133,대전,2018-02-01,-2.1,,1.2,46.8
133,대전,2018-02-02,-2.7,,1,49.1
133,대전,2018-02-03,-4.7,0,3,51.9
133,대전,2018-02-04,-7.3,0,2,54.4
133,대전,2018-02-05,-8.1,,2.3,52.1
133,대전,2018-02-06,-8.2,.2,2.1,58.1
133,대전,2018-02-07,-7.3,0,1.1,55.6
133,대전,2018-02-08,-3.8,,1,51.9
133,대전,2018-02-09,1.4,,1,57.8
133,대전,2018-02-10,.5,,2.2,55
133,대전,2018-02-11,-3.7,1,2.2,65.3
133,대전,2018-02-12,-4.8,1.4,1.9,78
133,대전,2018-02-13,-.8,.9,1.8,66.6
133,대전,2018-02-14,5.6,,2.1,70.1
133,대전,2018-02-15,.8,,1.4,39
133,대전,2018-02-16,.4,,1.3,46.5
133,대전,2018-02-17,-1.1,,1.7,33.1
133,대전,2018-02-18,-.1,,.8,37.4
133,대전,2018-02-19,2.5,,.9,50.3
133,대전,2018-02-20,1.9,,1.2,51.5
133,대전,2018-02-21,-.1,,1.5,33
133,대전,2018-02-22,.5,0,1.5,50.3
133,대전,2018-02-23,5.5,2,2.3,73.5
133,대전,2018-02-24,6,,1.8,52
133,대전,2018-02-25,4,,1.3,37.1
133,대전,2018-02-26,4,,1.2,40.4
133,대전,2018-02-27,6.3,,1.2,40.9
133,대전,2018-02-28,5.3,35,2.9,76
133,대전,2018-03-01,2,1,2.8,66.1
133,대전,2018-03-02,1.1,,1.1,45.4
133,대전,2018-03-03,8.6,,1.1,50.1
133,대전,2018-03-04,15.1,11.5,1.4,68.5
133,대전,2018-03-05,6.6,18.6,2.2,89.3
133,대전,2018-03-06,5.6,,1.2,65.6
133,대전,2018-03-07,6.1,4,4,69.5
133,대전,2018-03-08,2.9,12.5,1.1,92.3
133,대전,2018-03-09,3.3,,1.1,78.9
133,대전,2018-03-10,4.1,,1.8,69.8
133,대전,2018-03-11,7.7,,1.2,65.1
133,대전,2018-03-12,8.6,,1.3,59.8
133,대전,2018-03-13,12.4,,1.6,64.9
133,대전,2018-03-14,16.3,,1.4,64.1
133,대전,2018-03-15,13.7,16.6,.9,95.3
133,대전,2018-03-16,6.6,.1,3.3,71.8
133,대전,2018-03-17,7.6,,2.1,60.6
133,대전,2018-03-18,7.8,8,.7,84.3
133,대전,2018-03-19,8.3,22,2.7,89.6
133,대전,2018-03-20,5.9,,5.7,52.5
133,대전,2018-03-21,1.2,13.5,1.7,94.5
133,대전,2018-03-22,5.2,.6,1.5,76.4
133,대전,2018-03-23,6.3,,1.4,65.8
133,대전,2018-03-24,8.4,,1.6,68.5
133,대전,2018-03-25,10.9,,1.2,70.8
133,대전,2018-03-26,12.4,,1.2,69.9
133,대전,2018-03-27,13.9,,1.9,67.4
133,대전,2018-03-28,15.1,,1.8,66.4
133,대전,2018-03-29,16,,1.1,72.6
133,대전,2018-03-30,15.6,,2.9,53.4
133,대전,2018-03-31,15.9,,1.5,58.6
133,대전,2018-04-01,16,,1.3,72.6
133,대전,2018-04-02,18.3,,1.4,70.4
133,대전,2018-04-03,19.1,,1.2,69.9
133,대전,2018-04-04,13.2,21.1,2.4,88.6
133,대전,2018-04-05,8.2,18.6,3.3,95.4
133,대전,2018-04-06,7.8,18.8,2.3,75.4
133,대전,2018-04-07,5,,3.4,45.6
133,대전,2018-04-08,8.2,,2.8,58.3
133,대전,2018-04-09,11.9,,1.3,57.3
133,대전,2018-04-10,16.2,.3,3.4,58.9
133,대전,2018-04-11,15.6,14.6,2.6,52.1
133,대전,2018-04-12,13.9,,1.7,42.8
133,대전,2018-04-13,13.2,0,2.9,41.8
