지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
152,울산,2018-01-01,2.1,,3.3,32
152,울산,2018-01-02,3.7,,1.9,43.5
152,울산,2018-01-03,.9,,2.7,28.8
152,울산,2018-01-04,1.4,,2.2,41.9
152,울산,2018-01-05,3.3,0,2.4,41.6
152,울산,2018-01-06,1.9,,2.6,37.6
152,울산,2018-01-07,3.5,.3,1.4,53.5
152,울산,2018-01-08,4.5,4.4,1.9,88.4
152,울산,2018-01-09,1.1,.1,2.3,55.8
152,울산,2018-01-10,-1.8,.1,2.4,52.3
152,울산,2018-01-11,-5.6,,3.4,41
152,울산,2018-01-12,-5.5,,3.6,34.9
152,울산,2018-01-13,-1,0,2.4,60.1
152,울산,2018-01-14,2.5,,1.9,63.6
152,울산,2018-01-15,7.9,.1,1.5,61.6
152,울산,2018-01-16,7.1,18.2,1.7,85.9
152,울산,2018-01-17,5.5,8.1,2.2,96.6
152,울산,2018-01-18,6.1,,2.1,64.9
152,울산,2018-01-19,4.2,,2.6,42
152,울산,2018-01-20,4.1,,2.2,44.5
152,울산,2018-01-21,4.5,,1.8,45.4
152,울산,2018-01-22,5.3,0,1.9,59.1
152,울산,2018-01-23,-3,0,3.4,33.6
152,울산,2018-01-24,-8.2,,3.4,29
152,울산,2018-01-25,-7,,3.7,27
152,울산,2018-01-26,-7.8,,2.9,29.6
152,울산,2018-01-27,-3.2,,2.4,24.1
152,울산,2018-01-28,.2,,2.7,29.8
152,울산,2018-01-29,-3.6,,3.6,31.9
152,울산,2018-01-30,-2.5,,2.8,32.5
152,울산,2018-01-31,1.7,,1.8,40.1
152,울산,2018-02-01,1.7,,2.4,25
152,울산,2018-02-02,1.2,,2.6,25.6
152,울산,2018-02-03,-1.6,,3.6,29.3
152,울산,2018-02-04,-5.5,,5.3,29.8
152,울산,2018-02-05,-5.3,,4.3,28.1
152,울산,2018-02-06,-6.1,,4.2,29.5
152,울산,2018-02-07,-4.4,,2.6,28.6
152,울산,2018-02-08,-.1,,2.1,30.8
152,울산,2018-02-09,5.4,.2,2,48.8
152,울산,2018-02-10,5.5,,2.6,37.8
152,울산,2018-02-11,-1.7,0,3.3,34.4
152,울산,2018-02-12,-1.7,0,2.4,47.6
152,울산,2018-02-13,1.1,0,2.5,42.1
152,울산,2018-02-14,9.1,,3.4,51
152,울산,2018-02-15,5.8,,2.6,51.3
152,울산,2018-02-16,5,,1.9,37.9
152,울산,2018-02-17,2.5,,2.5,18
152,울산,2018-02-18,2.7,,2.2,24.8
152,울산,2018-02-19,5.5,,2.1,38.3
152,울산,2018-02-20,6.9,,2.3,29
152,울산,2018-02-21,3.1,,2.5,29.5
152,울산,2018-02-22,2.3,,2,32.1
152,울산,2018-02-23,6.2,,2.1,44.4
152,울산,2018-02-24,7.2,,2.5,58.3
152,울산,2018-02-25,6.6,1,1.3,81.5
152,울산,2018-02-26,5,,2.1,73.4
