지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
155,창원,2017-01-01,4.7,,1.1,68.8
155,창원,2017-01-02,8.3,,1.2,61.3
155,창원,2017-01-03,6.2,,1.3,53.5
155,창원,2017-01-04,5.8,,1.4,56.3
155,창원,2017-01-05,6.5,,2,66
155,창원,2017-01-06,6.9,,1.4,62.1
155,창원,2017-01-07,5.6,0,1.5,69.5
155,창원,2017-01-08,8.2,2.9,1.2,76.5
155,창원,2017-01-09,7,,1.7,49.3
155,창원,2017-01-10,2.8,,2.1,47.1
155,창원,2017-01-11,.1,,2.6,35
155,창원,2017-01-12,3.4,,1.9,44.1
155,창원,2017-01-13,.8,0,2.2,39.4
155,창원,2017-01-14,-2.8,,2.5,31.1
155,창원,2017-01-15,-2.8,,2,27
155,창원,2017-01-16,0,,2,33.9
155,창원,2017-01-17,1.3,,1.1,41.6
155,창원,2017-01-18,3.9,,1.9,40.4
155,창원,2017-01-19,2.5,,1.3,52.6
155,창원,2017-01-20,.7,0,2.3,47.4
155,창원,2017-01-21,-1.2,,2.4,50.4
155,창원,2017-01-22,-.6,0,1.9,43
155,창원,2017-01-23,-3.5,,2.2,36.9
155,창원,2017-01-24,-1.9,,2,34.3
155,창원,2017-01-25,-.4,,1.8,31.9
155,창원,2017-01-26,1.4,,1.7,37.5
155,창원,2017-01-27,6.3,,1.9,28
155,창원,2017-01-28,4,,1.5,33.3
155,창원,2017-01-29,4.2,4.1,.9,77
155,창원,2017-01-30,2.3,.2,2.4,47.1
155,창원,2017-01-31,.1,,2,46.9
155,창원,2017-02-01,1.5,,2.3,32.6
155,창원,2017-02-02,2.3,,2.5,22.3
155,창원,2017-02-03,4.3,,1.9,36.6
155,창원,2017-02-04,7.3,.6,1.3,44.1
155,창원,2017-02-05,6.5,6.3,1.8,75.1
155,창원,2017-02-06,3.5,,1.9,36.3
155,창원,2017-02-07,2.6,,2.1,44.6
155,창원,2017-02-08,4.1,0,1.4,48.3
155,창원,2017-02-09,.1,,2.5,34
155,창원,2017-02-10,-2.2,,2.4,31.4
155,창원,2017-02-11,-1.4,,2.2,40.1
155,창원,2017-02-12,1.3,,2.2,40.6
155,창원,2017-02-13,3.4,,1.5,41.4
155,창원,2017-02-14,4,,1.6,45.8
155,창원,2017-02-15,4.6,,1.1,44.5
155,창원,2017-02-16,9,4,1.2,69
155,창원,2017-02-17,11,1.3,2.2,46
155,창원,2017-02-18,2.8,,3.1,23.5
155,창원,2017-02-19,5.1,0,1.7,46.5
155,창원,2017-02-20,8.5,.3,2.4,45.1
155,창원,2017-02-21,3,,2,50.3
