지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
155,창원,2019-01-01,0,,2.5,47.1
155,창원,2019-01-02,-.5,,1.9,43.9
155,창원,2019-01-03,.6,,2.2,29.3
155,창원,2019-01-04,2.4,,1.1,26.4
155,창원,2019-01-05,3.2,,2.1,38.1
155,창원,2019-01-06,2,,1.9,21.8
155,창원,2019-01-07,2,,1.6,31.5
155,창원,2019-01-08,1.7,,2,40.8
155,창원,2019-01-09,-.6,,1.9,37.6
155,창원,2019-01-10,2.4,,1.5,42.3
155,창원,2019-01-11,3.6,0,1.9,56.6
155,창원,2019-01-12,4.1,3,2.1,83.8
155,창원,2019-01-13,4.6,,1.7,59
155,창원,2019-01-14,4,,1.3,49.9
155,창원,2019-01-15,3.9,,1.7,46.3
155,창원,2019-01-16,-1.6,,2.5,31.6
155,창원,2019-01-17,1.3,,1.9,47.1
155,창원,2019-01-18,3,,1.6,41.9
155,창원,2019-01-19,5,.5,.7,58.9
155,창원,2019-01-20,4.2,.2,2.1,46.6
155,창원,2019-01-21,1.7,,2.1,38.4
155,창원,2019-01-22,4,,1.2,49.1
155,창원,2019-01-23,5.2,,1.2,47.5
155,창원,2019-01-24,3.6,,1.8,24.1
155,창원,2019-01-25,2.3,,1.7,30
155,창원,2019-01-26,-.5,,2.2,24.6
155,창원,2019-01-27,1.1,,1.7,37.3
155,창원,2019-01-28,3.9,,1.5,37.9
155,창원,2019-01-29,2.5,,1.6,40.5
155,창원,2019-01-30,5.6,,1,42.9
155,창원,2019-01-31,.9,4.6,2.2,77.1
155,창원,2019-02-01,-1.1,,2.3,59.3
155,창원,2019-02-02,2.2,,1,63.9
155,창원,2019-02-03,8.1,14.5,1.2,88.1
155,창원,2019-02-04,4.8,,2.3,29.8
155,창원,2019-02-05,4.7,,1.4,40.9
155,창원,2019-02-06,7.5,,1.5,44.9
155,창원,2019-02-07,5.8,0,1.6,48
155,창원,2019-02-08,.6,,2.3,27.1
155,창원,2019-02-09,.7,,2.3,23.4
155,창원,2019-02-10,1.8,,2.1,37.4
155,창원,2019-02-11,1.2,,2.3,30.8
155,창원,2019-02-12,2.2,,1.7,36
155,창원,2019-02-13,3.2,,1.8,31
155,창원,2019-02-14,3.2,,1.7,46.8
155,창원,2019-02-15,4.6,0,1.5,65.8
155,창원,2019-02-16,2,,2.2,44.5
155,창원,2019-02-17,1.4,,2,35.6
155,창원,2019-02-18,4.1,0,1.3,34.4
155,창원,2019-02-19,3.9,31.5,1.6,93
155,창원,2019-02-20,4.1,,2.4,62.1
155,창원,2019-02-21,4.7,,1.8,58.6
155,창원,2019-02-22,6.5,,1,60.4
155,창원,2019-02-23,7.2,,1.5,56.6
155,창원,2019-02-24,7.1,,1.2,64
155,창원,2019-02-25,8.9,,1.7,58
155,창원,2019-02-26,8.6,,1.4,44.4
155,창원,2019-02-27,9.1,0,1,64.9
155,창원,2019-02-28,9.3,0,1.4,69.4
155,창원,2019-03-01,8.8,,1.3,45.8
155,창원,2019-03-02,9,,1.5,53.4
155,창원,2019-03-03,10.5,,1.1,55.1
155,창원,2019-03-04,10.7,,1.9,54.8
155,창원,2019-03-05,10.4,,1.4,63.9
155,창원,2019-03-06,9.3,1.6,.8,78.1
155,창원,2019-03-07,8.8,,1.7,61.1
155,창원,2019-03-08,8.3,,1.6,67.6
155,창원,2019-03-09,9.8,,1.3,65.9
155,창원,2019-03-10,7.1,20.8,1.8,83
155,창원,2019-03-11,8.3,0,1.4,64.4
155,창원,2019-03-12,8.2,0,2,51.1
155,창원,2019-03-13,5.1,,2.3,26.6
155,창원,2019-03-14,6.6,,1.8,32.8
155,창원,2019-03-15,6.5,1.2,1.8,52.1
155,창원,2019-03-16,6.8,,2,54.3
155,창원,2019-03-17,8.4,,1.6,47.8
155,창원,2019-03-18,9.3,,1.5,59.5
155,창원,2019-03-19,12.5,,1.5,47.8
155,창원,2019-03-20,12.5,28,1.6,66.9
155,창원,2019-03-21,15,1.8,2.3,57.3
155,창원,2019-03-22,8.2,,3.1,34.8
155,창원,2019-03-23,5.9,0,2.4,37.8
155,창원,2019-03-24,5.7,,1.9,45.1
155,창원,2019-03-25,7.2,,1.3,45.9
155,창원,2019-03-26,12.4,,1,40
155,창원,2019-03-27,13.1,,1.8,47.8
155,창원,2019-03-28,12.1,,2,65.1
155,창원,2019-03-29,12.8,,1.7,70.5
155,창원,2019-03-30,10.7,1.3,2.3,53.6
155,창원,2019-03-31,6.4,,2.2,33.5
155,창원,2019-04-01,7.2,,2,26.3
155,창원,2019-04-02,8.3,,2.1,34.8
155,창원,2019-04-03,9,,2.1,27.3
155,창원,2019-04-04,11.1,,2,29.4
155,창원,2019-04-05,14.1,,1.9,33.8
155,창원,2019-04-06,14,,2.2,32
155,창원,2019-04-07,11.9,9.9,1,74.9
155,창원,2019-04-08,13.4,,1.8,62.5
155,창원,2019-04-09,10.1,12.3,2.8,55.8
155,창원,2019-04-10,8.4,4.4,1.6,73.3
155,창원,2019-04-11,9.1,0,1.6,67.4
155,창원,2019-04-12,11.2,1.3,1.5,56.5
155,창원,2019-04-13,12.2,,1.7,48.3
155,창원,2019-04-14,12.5,0,1.2,48.4
155,창원,2019-04-15,12.3,,2.1,37
155,창원,2019-04-16,14.8,,1.3,39.5
155,창원,2019-04-17,16.3,,1.2,44.4
155,창원,2019-04-18,15.3,,2.3,62.3
155,창원,2019-04-19,12.9,,1.1,68
155,창원,2019-04-20,13.5,,1.6,62.1
155,창원,2019-04-21,17.1,,1.2,64.9
155,창원,2019-04-22,16.7,,1.3,68.3
155,창원,2019-04-23,14.6,6.3,.6,80.6
155,창원,2019-04-24,16.9,9.6,.7,91.1
155,창원,2019-04-25,14.8,.5,1,78.6
155,창원,2019-04-26,10.9,8.6,1.1,82.9
155,창원,2019-04-27,11.5,,2,61.3
155,창원,2019-04-28,12.1,0,1,62.5
155,창원,2019-04-29,11.3,38.4,.8,85.4
155,창원,2019-04-30,14.4,,1,83.4
155,창원,2019-05-01,15.9,2.9,1,76
155,창원,2019-05-02,17.1,,1.6,48.9
155,창원,2019-05-03,16.9,,1.5,47.8
155,창원,2019-05-04,17.9,,1.5,46.4
155,창원,2019-05-05,18.5,,1.4,50.8
155,창원,2019-05-06,14.7,2.8,1.8,66.9
155,창원,2019-05-07,14.6,,1.6,50.9
155,창원,2019-05-08,15.9,,1.5,44.1
155,창원,2019-05-09,17.7,,1.3,36.6
155,창원,2019-05-10,18.2,,1.6,39.3
155,창원,2019-05-11,18.6,,1.4,43.3
155,창원,2019-05-12,19.4,,1.3,47
155,창원,2019-05-13,16.7,,1.9,68
155,창원,2019-05-14,19.6,.1,1.6,74.4
155,창원,2019-05-15,20.7,,1.5,59.6
155,창원,2019-05-16,21.1,,1.3,58.5
155,창원,2019-05-17,20.8,2.7,1.7,64.6
155,창원,2019-05-18,17.3,46.9,1.8,87.3
155,창원,2019-05-19,19.6,11.1,2.1,80.8
155,창원,2019-05-20,18.4,.3,1.7,60.6
155,창원,2019-05-21,18,,1.2,41.5
155,창원,2019-05-22,19.5,,2,47.5
155,창원,2019-05-23,20.9,,1.4,59.8
