지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
106,동해,2021-01-01,-1.1,,2.6,29.8
106,동해,2021-01-02,-.7,,2.4,24.6
106,동해,2021-01-03,-1,,2.8,21.9
106,동해,2021-01-04,.8,,1.8,29.6
106,동해,2021-01-05,-.2,,2.7,33.9
106,동해,2021-01-06,-4.2,,2,22.4
106,동해,2021-01-07,-9.4,0,4.3,26.6
106,동해,2021-01-08,-9.6,,4.3,21.1
106,동해,2021-01-09,-7.8,,3.8,26.5
106,동해,2021-01-10,-4.1,,2.2,33.4
106,동해,2021-01-11,-2.6,,1.8,32.4
106,동해,2021-01-12,.3,,1.9,37.8
106,동해,2021-01-13,5.7,,1.7,43.3
106,동해,2021-01-14,4.2,,1.5,45
106,동해,2021-01-15,8.4,,3.2,48.8
106,동해,2021-01-16,2.1,,2.9,37
106,동해,2021-01-17,-2.3,,3.1,27.4
106,동해,2021-01-18,-1.2,.1,2.6,44.4
106,동해,2021-01-19,-3.7,,1.8,44.3
106,동해,2021-01-20,2.5,,1.8,38.4
106,동해,2021-01-21,7.3,,1.3,51.5
106,동해,2021-01-22,7.7,1.5,2,79.1
106,동해,2021-01-23,4.5,.4,3.2,82.9
106,동해,2021-01-24,4.8,.3,2,84.1
106,동해,2021-01-25,5.1,,2.1,81.1
106,동해,2021-01-26,6.6,.4,1.7,68.9
106,동해,2021-01-27,4.3,,2.6,40.5
106,동해,2021-01-28,.6,0,3.7,37.1
106,동해,2021-01-29,-4.4,,4.9,20.1
106,동해,2021-01-30,1.8,0,1.8,38.3
106,동해,2021-01-31,4.1,,1.9,38.1
106,동해,2021-02-01,9.1,0,1.9,44.6
106,동해,2021-02-02,-.2,,3.4,19.9
106,동해,2021-02-03,-.8,,2.7,30.1
106,동해,2021-02-04,2.5,,3.2,25
106,동해,2021-02-05,5.2,,2.3,32.3
106,동해,2021-02-06,8,,2.1,42.9
106,동해,2021-02-07,6,,2.5,71.6
106,동해,2021-02-08,.4,,3.8,33.8
106,동해,2021-02-09,1.8,,2.1,30.5
106,동해,2021-02-10,6.4,,3,36.4
106,동해,2021-02-11,6.6,,2.3,53.4
106,동해,2021-02-12,7.4,,1.2,52
106,동해,2021-02-13,6.4,,1.8,64.9
106,동해,2021-02-14,9.5,0,1.6,54.3
106,동해,2021-02-15,4.9,0,3.9,54.3
106,동해,2021-02-16,-1.5,,3.8,28.8
106,동해,2021-02-17,-5.5,,3.7,26.6
106,동해,2021-02-18,-3.2,,2.5,32.1
106,동해,2021-02-19,6.5,,2.7,29.4
106,동해,2021-02-20,12.4,,2.1,36.4
106,동해,2021-02-21,10.6,,3.2,58.8
106,동해,2021-02-22,6.2,,2.2,81.8
106,동해,2021-02-23,3.1,,2.3,58.9
106,동해,2021-02-24,2.3,,1.9,61.3
106,동해,2021-02-25,4.7,,1.2,70.9
106,동해,2021-02-26,6.8,,1.7,61.1
106,동해,2021-02-27,5.3,.9,2.7,72.3
106,동해,2021-02-28,7.4,0,1.4,60.8
106,동해,2021-03-01,3.6,67.3,2.3,90.6
106,동해,2021-03-02,-.1,6.6,1.9,86.5
106,동해,2021-03-03,2.7,,1.5,66.3
106,동해,2021-03-04,6.7,,1.2,57.9
106,동해,2021-03-05,8.5,,1.6,71.5
106,동해,2021-03-06,2.4,3.8,4.3,86.8
106,동해,2021-03-07,3,.2,1.6,83
106,동해,2021-03-08,4.8,,2.2,79.3
106,동해,2021-03-09,8.1,,2.1,62.1
106,동해,2021-03-10,7.5,,2.6,55
106,동해,2021-03-11,9.4,,1.6,61.3
106,동해,2021-03-12,8.3,9.3,2.3,76.3
106,동해,2021-03-13,7,,2.7,68.6
106,동해,2021-03-14,8.6,,1.4,74.5
106,동해,2021-03-15,11.4,,1.4,60.3
106,동해,2021-03-16,10.2,,2.1,57.3
106,동해,2021-03-17,7.8,,2.1,70.4
106,동해,2021-03-18,8.2,,2.2,78.3
106,동해,2021-03-19,8.9,,2.2,74.1
106,동해,2021-03-20,8.6,1.9,1.6,79.5
106,동해,2021-03-21,8.3,,3,53
106,동해,2021-03-22,7.8,,3.3,31.1
106,동해,2021-03-23,12.3,,2.4,25.5
106,동해,2021-03-24,13.3,,1.8,29
106,동해,2021-03-25,14,,1.9,35.9
106,동해,2021-03-26,13,,2.1,50.4
106,동해,2021-03-27,10.7,8.8,1.1,83
106,동해,2021-03-28,13.4,1.9,1.8,69.9
106,동해,2021-03-29,14.4,,2.9,31.6
106,동해,2021-03-30,11.6,,2.2,33.8
106,동해,2021-03-31,11.2,,2,61.6
106,동해,2021-04-01,10.7,,1.6,74.8
106,동해,2021-04-02,11.1,0,1.3,75
