지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
106,동해,2018-01-01,2.6,,3.4,20.3
106,동해,2018-01-02,3.8,,3.2,23.6
106,동해,2018-01-03,.8,,1.9,31.6
106,동해,2018-01-04,1.3,,1.9,49.6
106,동해,2018-01-05,2.7,,1.7,42.9
106,동해,2018-01-06,2.6,,2.8,34.4
106,동해,2018-01-07,4.2,,1.3,30.8
106,동해,2018-01-08,6.5,0,2,52.6
106,동해,2018-01-09,.2,0,4.5,33.5
106,동해,2018-01-10,-2.7,,3.4,28.6
106,동해,2018-01-11,-5.8,,3.1,27.5
106,동해,2018-01-12,-4.6,,2.8,24.3
106,동해,2018-01-13,.2,,2.5,40.4
106,동해,2018-01-14,3,,1.6,45.4
106,동해,2018-01-15,8.7,,2.2,42.8
106,동해,2018-01-16,8.4,0,1.8,48.8
106,동해,2018-01-17,6.1,4.4,2,83.4
106,동해,2018-01-18,6.6,,2.3,44.6
106,동해,2018-01-19,4.3,,1.4,37.1
106,동해,2018-01-20,5.2,,2.1,41.8
106,동해,2018-01-21,3.6,,2.2,39.5
106,동해,2018-01-22,3.7,0,1.9,58.1
106,동해,2018-01-23,-5.1,,4.7,25.9
106,동해,2018-01-24,-8.7,,3.8,18.9
106,동해,2018-01-25,-7,,2.7,23
106,동해,2018-01-26,-7.6,,2.4,25.8
106,동해,2018-01-27,-2.6,,1.7,35.4
106,동해,2018-01-28,.3,,2.7,22.8
106,동해,2018-01-29,-4.2,,3.1,20.8
106,동해,2018-01-30,-1.6,,2.6,32.5
106,동해,2018-01-31,1.7,,1.8,33.8
106,동해,2018-02-01,.1,,2,44.4
106,동해,2018-02-02,.3,,3,58.8
106,동해,2018-02-03,-1.6,,2.9,35.9
106,동해,2018-02-04,-4.3,,3.4,26.6
106,동해,2018-02-05,-5.4,,3,22.4
106,동해,2018-02-06,-6,,2.7,25.8
106,동해,2018-02-07,-3.3,,2.1,27.5
106,동해,2018-02-08,.1,,1.8,25
106,동해,2018-02-09,3.8,,1.3,44.3
106,동해,2018-02-10,4.6,,2.6,31
106,동해,2018-02-11,-3,,3.8,26.5
106,동해,2018-02-12,-2.6,,3.2,28.5
106,동해,2018-02-13,1.3,,2.6,32.8
106,동해,2018-02-14,7.7,,3.6,39.4
106,동해,2018-02-15,2.1,,2.5,55.5
106,동해,2018-02-16,3.4,,2,37.3
106,동해,2018-02-17,1,,3.1,30.5
106,동해,2018-02-18,1.6,,1.3,32.5
106,동해,2018-02-19,4.2,,1.3,41.9
106,동해,2018-02-20,4.3,,1.6,36.8
106,동해,2018-02-21,1.5,,2.4,38.3
106,동해,2018-02-22,4,,2.2,32.4
106,동해,2018-02-23,6.6,.2,2.4,42.1
106,동해,2018-02-24,2.9,.7,2.8,77
106,동해,2018-02-25,3.6,,1.9,79.9
106,동해,2018-02-26,3.4,,2.8,69.1
106,동해,2018-02-27,4.9,,1.4,78.4
106,동해,2018-02-28,5.9,52.5,3.2,92.8
106,동해,2018-03-01,4.5,2.8,4.2,49.4
106,동해,2018-03-02,3.6,,2.1,42.9
106,동해,2018-03-03,10.3,,1.7,45.1
106,동해,2018-03-04,12.1,10.7,2.7,70.4
106,동해,2018-03-05,2.3,32.5,4.4,87.3
106,동해,2018-03-06,3.7,,1.3,72.6
106,동해,2018-03-07,4.6,1,2.4,77
106,동해,2018-03-08,3.1,16.8,2.5,93.1
106,동해,2018-03-09,2.1,2.9,2.2,85.5
106,동해,2018-03-10,5.7,,1.8,68.6
106,동해,2018-03-11,6.6,,3.2,62.4
106,동해,2018-03-12,8.7,,1.7,67.5
106,동해,2018-03-13,17.1,,2.5,33.6
106,동해,2018-03-14,16.2,,2,54.9
106,동해,2018-03-15,12.8,3.6,2.9,74.1
106,동해,2018-03-16,2.8,0,4.2,63.1
106,동해,2018-03-17,5.1,,2,69.5
106,동해,2018-03-18,9.1,0,1,59.5
106,동해,2018-03-19,7.1,16.6,2.4,77.5
106,동해,2018-03-20,3.7,,5.7,58.1
106,동해,2018-03-21,2.4,8.5,5.2,83.1
106,동해,2018-03-22,4.4,,2.3,60.1
106,동해,2018-03-23,7.9,,1.7,63.8
106,동해,2018-03-24,12.8,,2.9,36.4
106,동해,2018-03-25,16.6,,2.9,26
106,동해,2018-03-26,16.8,,2.6,35.6
106,동해,2018-03-27,19.1,,3,34.1
106,동해,2018-03-28,19.8,,3.1,35.1
106,동해,2018-03-29,12.3,,2.7,56.9
106,동해,2018-03-30,9.9,,2.9,65.5
106,동해,2018-03-31,14.1,,1.3,59.1
106,동해,2018-04-01,15.1,,1.2,60.3
106,동해,2018-04-02,19.7,,1.9,51.8
106,동해,2018-04-03,15.8,0,3.1,64.8
106,동해,2018-04-04,6.8,26.8,2.6,90.4
106,동해,2018-04-05,6.9,6.2,1.5,87
106,동해,2018-04-06,7.6,11,2.7,72.8
106,동해,2018-04-07,6,0,4.3,45.3
106,동해,2018-04-08,6.5,.1,3.2,51.1
106,동해,2018-04-09,8.4,0,2,61.8
106,동해,2018-04-10,15.6,,2.7,46.3
106,동해,2018-04-11,18.1,1.6,4.1,28.6
106,동해,2018-04-12,14.1,,2.3,33.6
106,동해,2018-04-13,11.3,,2.2,58.9
106,동해,2018-04-14,8.8,16,1.9,87.1
106,동해,2018-04-15,11.5,.1,2.4,62.6
106,동해,2018-04-16,11,0,2.4,61.4
106,동해,2018-04-17,11.8,,1.8,70.4
106,동해,2018-04-18,16.1,,2.5,42
106,동해,2018-04-19,19.5,,1.8,30.4
106,동해,2018-04-20,18.3,,1.3,52.4
106,동해,2018-04-21,22,,1.3,38.8
106,동해,2018-04-22,14.3,.1,3.9,57.9
106,동해,2018-04-23,9.2,50.1,2.8,93.6
106,동해,2018-04-24,9.5,19.8,3.5,85.8
106,동해,2018-04-25,10.4,,1.7,63.8
106,동해,2018-04-26,16.2,,1.8,49.3
106,동해,2018-04-27,13.6,,4,53.9
106,동해,2018-04-28,18.5,,1.8,41.3
106,동해,2018-04-29,21.8,,2.7,24.9
106,동해,2018-04-30,19.6,,2.8,44.6
106,동해,2018-05-01,14.3,,1.5,82.5
106,동해,2018-05-02,11.5,18.8,2.8,91.3
106,동해,2018-05-03,11.4,2.9,3.5,61.6
106,동해,2018-05-04,17.5,,5.1,29.4
106,동해,2018-05-05,20.8,,2.5,36
106,동해,2018-05-06,15.2,3.7,2.1,87.5
106,동해,2018-05-07,14,.2,1.7,90
106,동해,2018-05-08,11.7,2.9,3.6,90.4
106,동해,2018-05-09,10.7,,3.5,77.8
106,동해,2018-05-10,14.4,,2,70.3
106,동해,2018-05-11,19.1,,1.8,50.4
106,동해,2018-05-12,15.6,2.3,1.4,77.3
106,동해,2018-05-13,15.8,.1,1.4,83.8
106,동해,2018-05-14,20.4,,1.5,61.5
106,동해,2018-05-15,22.2,,1.2,52.5
106,동해,2018-05-16,21.9,1.2,1.3,77.8
106,동해,2018-05-17,19.6,1.6,2.3,83.5
106,동해,2018-05-18,11.4,18,3.5,90
106,동해,2018-05-19,12.8,,2.1,75.8
106,동해,2018-05-20,12.1,,2.3,83.5
106,동해,2018-05-21,12.9,,1.4,82.4
106,동해,2018-05-22,14.6,3.5,1.4,90.3
106,동해,2018-05-23,15.6,.4,2,79.4
106,동해,2018-05-24,22.6,,2.6,36.6
106,동해,2018-05-25,21,,2.3,49.6
106,동해,2018-05-26,16.2,,3.1,81.9
106,동해,2018-05-27,15.8,,1.7,90.6
106,동해,2018-05-28,16.7,,1.7,86.6
106,동해,2018-05-29,17.2,0,1.2,93.3
106,동해,2018-05-30,18.1,8,2.3,87
106,동해,2018-05-31,17.6,,2.6,74.8
106,동해,2018-06-01,21.3,,1.6,61.1
106,동해,2018-06-02,23.4,,1.6,59.6
106,동해,2018-06-03,24,,1.4,46.9
106,동해,2018-06-04,22.4,0,1.2,54
106,동해,2018-06-05,22,0,1.9,66.3
106,동해,2018-06-06,21.7,,1.4,68.3
106,동해,2018-06-07,22.1,,.8,69.5
106,동해,2018-06-08,21.1,,2.4,72.9
106,동해,2018-06-09,17.5,0,1.6,85.4
106,동해,2018-06-10,16.5,1.5,1.3,88.5
106,동해,2018-06-11,16.1,.1,1.8,80.1
106,동해,2018-06-12,16.2,,3.2,73.8
106,동해,2018-06-13,17.2,0,1.4,80.1
106,동해,2018-06-14,17.8,,3.3,80
106,동해,2018-06-15,17.3,,1.2,76.6
106,동해,2018-06-16,16.7,,1.3,74
106,동해,2018-06-17,16.7,,.9,83.9
106,동해,2018-06-18,18.2,,.9,88
106,동해,2018-06-19,20.9,,1,75.8
106,동해,2018-06-20,21.4,,2.1,66.1
106,동해,2018-06-21,22.5,,2,55.3
106,동해,2018-06-22,24.3,,1.9,45.3
106,동해,2018-06-23,25.5,,1.6,45.8
106,동해,2018-06-24,27.3,,1.8,45.1
106,동해,2018-06-25,24.4,,1.4,65
106,동해,2018-06-26,20.3,24.6,1.2,96.1
106,동해,2018-06-27,21,0,1.6,86
