瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%)
127,面林,2018-01-01,-4.1,,1.2,57.8
127,面林,2018-01-02,-3,,1,61.1
127,面林,2018-01-03,-4.3,,1.5,46.3
127,面林,2018-01-04,-5.3,,.7,58.9
127,面林,2018-01-05,-3.9,,1.2,61.6
127,面林,2018-01-06,-5,,.8,62.8
127,面林,2018-01-07,-3.3,,.6,64.6
127,面林,2018-01-08,.3,2.1,1.1,76
127,面林,2018-01-09,-3.9,.9,2.9,67.8
127,面林,2018-01-10,-7.6,2,2.4,60.1
127,面林,2018-01-11,-12.1,,2,58.3
127,面林,2018-01-12,-12.1,,1.3,54.1
127,面林,2018-01-13,-6.6,.4,.4,79.5
127,面林,2018-01-14,-2.4,,.5,78.6
127,面林,2018-01-15,2.8,,1.1,69.3
127,面林,2018-01-16,1.6,1.1,.7,82.4
127,面林,2018-01-17,2.9,6.4,.6,89.8
127,面林,2018-01-18,2.1,,1,76
127,面林,2018-01-19,-.9,,.9,62
127,面林,2018-01-20,-.7,,.6,72.5
127,面林,2018-01-21,-2,,.7,74.9
127,面林,2018-01-22,1.6,1.4,1.5,68.9
127,面林,2018-01-23,-8.8,,4.2,37.9
127,面林,2018-01-24,-13,,3.1,28.9
127,面林,2018-01-25,-13,,2.5,39
127,面林,2018-01-26,-13.7,,2.4,38.6
127,面林,2018-01-27,-10.6,,.7,48.6
127,面林,2018-01-28,-5.3,,2.2,38.9
127,面林,2018-01-29,-8.8,,2.4,42.1
127,面林,2018-01-30,-6.2,,1.4,53.5
127,面林,2018-01-31,-1.9,0,1.3,50.3
127,面林,2018-02-01,-5,,1,48.4
127,面林,2018-02-02,-5,,.9,53.1
127,面林,2018-02-03,-6.4,.2,3.4,48
127,面林,2018-02-04,-9.4,,2.4,42.5
127,面林,2018-02-05,-9.6,,2.8,38.1
127,面林,2018-02-06,-10.4,,2.2,41.4
127,面林,2018-02-07,-10.1,,1,44.4
127,面林,2018-02-08,-7.4,,.7,47.1
127,面林,2018-02-09,-1.8,,.8,50.1
127,面林,2018-02-10,-.9,,2.7,43.5
127,面林,2018-02-11,-6.4,.6,2.2,55.6
127,面林,2018-02-12,-6.7,.1,2.7,54.3
127,面林,2018-02-13,-3.1,0,1.7,61.3
127,面林,2018-02-14,3.6,,2,57.6
127,面林,2018-02-15,-.3,,1.5,38.8
127,面林,2018-02-16,-1.5,,1.6,47
127,面林,2018-02-17,-2.9,,2.5,32.8
127,面林,2018-02-18,-2.3,,.8,43.3
127,面林,2018-02-19,-.4,,.9,49.4
127,面林,2018-02-20,.5,,1.5,45.1
127,面林,2018-02-21,-2.4,,1.3,35.1
127,面林,2018-02-22,-1.6,,1.4,56
127,面林,2018-02-23,4.6,1.2,1.8,63.5
127,面林,2018-02-24,4.8,,1.6,46.1
127,面林,2018-02-25,2.2,,1.2,41.8
127,面林,2018-02-26,1.3,,1,44.1
127,面林,2018-02-27,3.1,,.8,50.8
127,面林,2018-02-28,4.4,33.7,2.2,73.5
127,面林,2018-03-01,.9,1.8,3.9,62.6
127,面林,2018-03-02,-1,,1.2,48.4
127,面林,2018-03-03,6.3,,.9,51.3
127,面林,2018-03-04,12.6,10.3,1.4,61
127,面林,2018-03-05,4.8,9.9,4.2,62.1
127,面林,2018-03-06,3.6,,1.1,58.3
127,面林,2018-03-07,4.8,2.5,3.1,60.9
127,面林,2018-03-08,2.7,12.8,.7,85.1
127,面林,2018-03-09,3.4,,1.3,74
127,面林,2018-03-10,4,,1.5,65.8
127,面林,2018-03-11,6,,1.6,54.4
127,面林,2018-03-12,7.3,,1.1,53.6
127,面林,2018-03-13,11.7,,1.9,58.8
127,面林,2018-03-14,14.1,,1.4,62
127,面林,2018-03-15,12.2,7.9,.8,90.8
127,面林,2018-03-16,5.1,1.2,3.9,51.5
127,面林,2018-03-17,5.5,,1.4,50.9
127,面林,2018-03-18,7.7,1.8,.7,63.6
127,面林,2018-03-19,7.3,24,2.9,76.8
127,面林,2018-03-20,4.7,,4.1,41.1
127,面林,2018-03-21,1.4,2.7,2.4,77.4
127,面林,2018-03-22,4.2,.2,1.5,62.8
127,面林,2018-03-23,5.1,,1.2,52.8
127,面林,2018-03-24,6.9,,1.3,59.1
127,面林,2018-03-25,9.3,,1.5,58.1
127,面林,2018-03-26,10.4,,1.4,59.6
127,面林,2018-03-27,12.5,,1.4,61.3
127,面林,2018-03-28,14.6,,1.6,57.6
127,面林,2018-03-29,14.4,,1,63.9
127,面林,2018-03-30,14.9,,2.2,38.8
127,面林,2018-03-31,14.8,,1.5,50.9
127,面林,2018-04-01,14.7,,1.1,65.3
127,面林,2018-04-02,17.4,,1.6,63.8
127,面林,2018-04-03,18.6,,1.4,62.5
127,面林,2018-04-04,11.7,16.4,2.6,78.8
127,面林,2018-04-05,7.2,14.6,3.2,83
127,面林,2018-04-06,7,14.7,3.2,66.8
127,面林,2018-04-07,4.4,,4.6,46.8
127,面林,2018-04-08,6.8,.1,2.5,48.5
127,面林,2018-04-09,8.8,,1.2,51.6
127,面林,2018-04-10,14.6,4,2.3,49.1
127,面林,2018-04-11,14.3,2.7,3.4,46.1
127,面林,2018-04-12,12.1,,2.1,39.8
127,面林,2018-04-13,12.4,,2,37.1
127,面林,2018-04-14,8.8,16.7,1.9,79.1
127,面林,2018-04-15,9.4,,2.6,66
127,面林,2018-04-16,10.5,,1.1,57.4
127,面林,2018-04-17,12.4,,1.1,54.4
127,面林,2018-04-18,12.5,,1.4,46.5
127,面林,2018-04-19,14.1,,1.5,44.1
127,面林,2018-04-20,18.4,,.9,51.6
127,面林,2018-04-21,19.6,,1.5,42
127,面林,2018-04-22,16.7,0,1.9,46.9
127,面林,2018-04-23,10.7,33.1,2.5,80.3
127,面林,2018-04-24,11.6,5.6,2.6,62.8
127,面林,2018-04-25,11.9,,1,52.8
127,面林,2018-04-26,14.5,,1.3,52.8
127,面林,2018-04-27,14.4,,1.2,54.4
127,面林,2018-04-28,15.4,,1.5,59.3
127,面林,2018-04-29,15.6,,1.2,52.8
127,面林,2018-04-30,17.5,,1.1,60.4
127,面林,2018-05-01,20.1,.2,1.3,68.4
127,面林,2018-05-02,15.7,18.5,2.2,87.6
127,面林,2018-05-03,10.9,2.6,3.2,66.8
127,面林,2018-05-04,13.8,,3.2,46.1
127,面林,2018-05-05,16.9,,1.8,47
127,面林,2018-05-06,15.2,20.2,1.2,92.8
127,面林,2018-05-07,17.2,,1.2,73.1
127,面林,2018-05-08,,,3.8,
127,面林,2018-05-09,14.5,,1.7,55
127,面林,2018-05-10,15.1,,1.7,64.5
127,面林,2018-05-11,16.4,,1.4,58.1
127,面林,2018-05-12,14.6,23.7,.9,87.4
127,面林,2018-05-13,16.8,2.5,1.7,80.3
127,面林,2018-05-14,18.7,,1.1,74.9
