瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%)
272,康林,2018-01-01,-1.1,,3.9,35
272,康林,2018-01-02,0,,6,47.9
272,康林,2018-01-03,-2.9,,5.6,37.6
272,康林,2018-01-04,-3.4,,1.7,50.6
272,康林,2018-01-05,-2,,3.8,53.6
272,康林,2018-01-06,-2.1,,4.6,45.3
272,康林,2018-01-07,-3.3,,1.1,54.9
272,康林,2018-01-08,.4,.5,3.1,67.5
272,康林,2018-01-09,-3.5,.5,7,60
272,康林,2018-01-10,-6.4,.5,5.2,52.9
272,康林,2018-01-11,-10.4,,6.1,49.9
272,康林,2018-01-12,-10.2,,5.6,44.1
272,康林,2018-01-13,-5.6,,2.4,64.3
272,康林,2018-01-14,-4.4,,1.2,72.9
272,康林,2018-01-15,1.5,,2.8,61.5
272,康林,2018-01-16,1.4,.5,1.4,72.3
272,康林,2018-01-17,2.8,8,1.5,89.4
272,康林,2018-01-18,3.5,,4.3,55.9
272,康林,2018-01-19,.8,,3,48.9
272,康林,2018-01-20,-.2,,2.4,65.4
272,康林,2018-01-21,-.9,,1.7,65.5
272,康林,2018-01-22,1.3,1.5,2,66.5
272,康林,2018-01-23,-8.8,,7.7,43
272,康林,2018-01-24,-13.1,,8.1,29.6
272,康林,2018-01-25,-12.4,,6.5,35.8
272,康林,2018-01-26,-13.4,,6.8,34.1
272,康林,2018-01-27,-9.6,,1.5,47.8
272,康林,2018-01-28,-4.5,,5.6,31
272,康林,2018-01-29,-7.9,,5,33.8
272,康林,2018-01-30,-5.8,,4.4,46.9
272,康林,2018-01-31,-1.3,,3.6,42.9
272,康林,2018-02-01,-3.1,,2.4,34.3
272,康林,2018-02-02,-3.5,,2.6,40.8
272,康林,2018-02-03,-5.6,0,6,42.8
272,康林,2018-02-04,-9.3,,6.1,34.8
272,康林,2018-02-05,-9.3,,5.4,31.8
272,康林,2018-02-06,-9.9,,5.5,33.9
272,康林,2018-02-07,-8.4,,3.7,32.5
272,康林,2018-02-08,-6.2,,2,38.3
272,康林,2018-02-09,-.2,,2.4,44.3
272,康林,2018-02-10,.5,,5.8,41.5
272,康林,2018-02-11,-6.1,0,5.7,44.5
272,康林,2018-02-12,-6.7,,6.4,45.9
272,康林,2018-02-13,-2.8,,4.8,49.8
272,康林,2018-02-14,1.3,,3,54
272,康林,2018-02-15,2.4,,4.5,22.5
272,康林,2018-02-16,-.5,,3.8,33.3
272,康林,2018-02-17,-1.9,,6.4,24.9
272,康林,2018-02-18,-.2,,2.2,26.6
272,康林,2018-02-19,1.7,,2.3,33.8
272,康林,2018-02-20,1.7,,3.9,33.6
272,康林,2018-02-21,.3,,4.6,19.4
272,康林,2018-02-22,-1.1,,2.5,39
272,康林,2018-02-23,1.9,1,1.3,65.8
272,康林,2018-02-24,5.5,,4,46.1
272,康林,2018-02-25,4.4,,2.3,44.3
272,康林,2018-02-26,1.5,,1.8,41.9
272,康林,2018-02-27,3.6,,2.4,46.6
272,康林,2018-02-28,3.9,16.5,2.5,71.9
272,康林,2018-03-01,1.1,2,7.3,57.4
272,康林,2018-03-02,-.3,,3.2,45.8
272,康林,2018-03-03,4.7,,1.8,50.9
272,康林,2018-03-04,11,21.5,2,61.6
272,康林,2018-03-05,4.2,20.5,2.4,69.1
272,康林,2018-03-06,3.2,,1.8,63.9
272,康林,2018-03-07,2.9,5,1.3,70.9
272,康林,2018-03-08,2.5,13.5,1.6,78.9
272,康林,2018-03-09,3.3,,1.7,65.6
272,康林,2018-03-10,4.4,,2.7,60.8
272,康林,2018-03-11,6.1,,3.8,49.4
272,康林,2018-03-12,8.1,,1.6,48.5
272,康林,2018-03-13,10.6,,2.2,56
272,康林,2018-03-14,14.1,,2,58.8
272,康林,2018-03-15,10.9,4.5,.8,89.1
272,康林,2018-03-16,2.4,2.5,2.3,69.9
272,康林,2018-03-17,3.1,,1.5,64.3
272,康林,2018-03-18,6.9,1,1,65.9
272,康林,2018-03-19,5.9,38.5,1.7,86.4
272,康林,2018-03-20,3.4,,2.5,54.9
272,康林,2018-03-21,1.9,1,2.2,64.8
272,康林,2018-03-22,6.1,,4.2,42.6
272,康林,2018-03-23,6.6,,3.1,47.9
272,康林,2018-03-24,9.3,,4.9,39.8
272,康林,2018-03-25,11.4,,3.6,40.4
272,康林,2018-03-26,12.1,,3.4,43.3
272,康林,2018-03-27,13.6,,2.8,52.3
272,康林,2018-03-28,16,,3.9,47.1
272,康林,2018-03-29,15.5,,2.7,46.8
272,康林,2018-03-30,11,,1.9,47.6
272,康林,2018-03-31,13.3,,2.7,53.1
272,康林,2018-04-01,16.7,,2.7,52.9
272,康林,2018-04-02,18.7,,3.1,54.1
272,康林,2018-04-03,19.3,,3.4,53.5
272,康林,2018-04-04,9.2,31,1.8,77.8
272,康林,2018-04-05,5.2,18.5,1.2,86.1
272,康林,2018-04-06,6.7,16.5,4.1,62.4
272,康林,2018-04-07,3.1,.5,4.5,47.9
272,康林,2018-04-08,6.7,.5,3.1,45.5
272,康林,2018-04-09,9.7,.1,4,43.1
272,康林,2018-04-10,12.7,1.5,2.6,51.8
272,康林,2018-04-11,14.3,10,4.7,43.3
272,康林,2018-04-12,12.4,,4.1,32.1
272,康林,2018-04-13,11.2,,2.5,40.3
272,康林,2018-04-14,8.2,27.5,2.1,79.9
272,康林,2018-04-15,10,,5.1,57
272,康林,2018-04-16,10.8,,2.1,56.8
272,康林,2018-04-17,12.8,,2,52
272,康林,2018-04-18,14.1,,3.1,39.4
272,康林,2018-04-19,15.2,,3.6,38.1
272,康林,2018-04-20,18.1,,1.8,49.8
272,康林,2018-04-21,20,,2,43
272,康林,2018-04-22,16.1,0,1.6,49.8
272,康林,2018-04-23,9.2,56,1.3,86
272,康林,2018-04-24,10.2,13,1.1,78.6
272,康林,2018-04-25,11.4,,1.6,57
272,康林,2018-04-26,14.6,,2.3,50.3
272,康林,2018-04-27,16.1,,3.1,47.8
272,康林,2018-04-28,16.3,,3.3,46.9
272,康林,2018-04-29,16.7,,3.2,46.9
272,康林,2018-04-30,18.7,,3,46.4
272,康林,2018-05-01,18.4,8,1.9,71.1
272,康林,2018-05-02,14.3,40.5,1.7,91.3
272,康林,2018-05-03,10.2,7,5.2,62.4
272,康林,2018-05-04,13,,4,45.9
272,康林,2018-05-05,17.3,,2.8,39
272,康林,2018-05-06,14,26.5,.6,89.9
272,康林,2018-05-07,15.3,.4,1.2,83.4
272,康林,2018-05-08,12.7,,1.7,70.4
272,康林,2018-05-09,11.7,.2,1.9,67.5
272,康林,2018-05-10,15.7,,2.5,53.6
272,康林,2018-05-11,17.2,,2.3,48.8
272,康林,2018-05-12,13.3,23,.5,86.3
272,康林,2018-05-13,17.6,5.5,3.1,72.1
272,康林,2018-05-14,18.1,,2,69.4
272,康林,2018-05-15,21.8,,1.9,62.3
272,康林,2018-05-16,20.4,.5,.7,84.8
272,康林,2018-05-17,23.9,.5,1.1,80.1
272,康林,2018-05-18,18.4,31.5,1.7,86.6
272,康林,2018-05-19,13.9,,2.1,62.4
272,康林,2018-05-20,13.5,,2.5,56.4
272,康林,2018-05-21,13.7,,1.8,69.8
272,康林,2018-05-22,16.7,4,1.4,70.9
272,康林,2018-05-23,18.6,12.5,3,59.6
272,康林,2018-05-24,18.5,,2.5,52.9
272,康林,2018-05-25,19.7,,2.6,46.4
272,康林,2018-05-26,20,,1.6,53.6
272,康林,2018-05-27,20.1,,1.8,57.6
272,康林,2018-05-28,21,,1.4,62
272,康林,2018-05-29,21.8,,1.9,67
272,康林,2018-05-30,19.8,2.5,2.3,66.8
272,康林,2018-05-31,19.6,,3,55.4
272,康林,2018-06-01,22,,1.9,58
272,康林,2018-06-02,23.8,,2.4,47.1
272,康林,2018-06-03,21.5,,2.1,50.1
272,康林,2018-06-04,22,.1,1.9,54
272,康林,2018-06-05,20.6,2.5,1.5,71.9
272,康林,2018-06-06,23.2,,1.7,63.3
272,康林,2018-06-07,24.6,,2.1,58.4
272,康林,2018-06-08,23.9,,3.3,52.6
272,康林,2018-06-09,20.9,,2.2,59.9
272,康林,2018-06-10,18.4,,1.9,64.3
272,康林,2018-06-11,16.9,,1,73.1
272,康林,2018-06-12,19,.1,1.5,66.9
272,康林,2018-06-13,19.6,,1.4,63.3
272,康林,2018-06-14,18.2,,1.7,69
272,康林,2018-06-15,18.3,,1.9,60.6
272,康林,2018-06-16,17.7,,1.6,64.9
272,康林,2018-06-17,19.7,,1.3,68.1
272,康林,2018-06-18,24,,1.4,55.9
272,康林,2018-06-19,21.2,0,1.3,74.3
272,康林,2018-06-20,22.4,,2.3,63.1
272,康林,2018-06-21,22.8,,3.4,51.8
272,康林,2018-06-22,23.6,,1.6,50.6
272,康林,2018-06-23,24.2,,2.6,47
272,康林,2018-06-24,25.7,,3,50.9
272,康林,2018-06-25,25.5,,1.9,52.4
272,康林,2018-06-26,20.8,58.5,1.4,85.8
272,康林,2018-06-27,25.2,5.5,2.2,71.9
272,康林,2018-06-28,22.6,,1.5,79.3
