瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%)
272,康林,2017-01-01,1.1,,3,72.5
272,康林,2017-01-02,2.5,,3.2,73.6
272,康林,2017-01-03,4.1,,5,51.3
272,康林,2017-01-04,4.3,,3.4,58.5
272,康林,2017-01-05,2.3,,2,70.3
272,康林,2017-01-06,.9,,1.6,77.4
272,康林,2017-01-07,1,,1.5,76.8
272,康林,2017-01-08,6.7,,1.6,64.6
272,康林,2017-01-09,3.5,,5.9,57.3
272,康林,2017-01-10,-1.6,,6.3,46.5
272,康林,2017-01-11,-3.4,,5.7,38.1
272,康林,2017-01-12,-.9,.5,6.6,57.5
272,康林,2017-01-13,-4.2,,6.3,47
272,康林,2017-01-14,-7.7,,6.8,34.8
272,康林,2017-01-15,-5.9,,5.6,32.5
272,康林,2017-01-16,-5.3,,2,52.5
272,康林,2017-01-17,-4.4,,1.4,61.6
272,康林,2017-01-18,.4,,3.8,53.3
272,康林,2017-01-19,-1.1,,1.9,60.6
272,康林,2017-01-20,-3.1,.5,5.2,69
272,康林,2017-01-21,-4.5,0,3.2,65.8
272,康林,2017-01-22,-6.1,.5,5.6,49.3
272,康林,2017-01-23,-8,,6.1,49.3
272,康林,2017-01-24,-6,,4.2,41.9
272,康林,2017-01-25,-6.1,,3,46.8
272,康林,2017-01-26,-4.6,,1.6,52.3
272,康林,2017-01-27,-.6,.2,5.5,42
272,康林,2017-01-28,-1.8,,1.4,47
272,康林,2017-01-29,1.8,1,.7,66.5
272,康林,2017-01-30,-2.8,.5,6,68.3
272,康林,2017-01-31,-4.9,,2.7,55.5
272,康林,2017-02-01,-2,,6,41.4
272,康林,2017-02-02,-2.2,,5.8,41.1
272,康林,2017-02-03,.6,,3.6,51.9
272,康林,2017-02-04,1.7,,1.2,50.8
272,康林,2017-02-05,3.4,0,4.3,56
272,康林,2017-02-06,-.6,,6.1,50.3
272,康林,2017-02-07,-2.7,,1.4,58.5
272,康林,2017-02-08,-1,,2.7,51.1
272,康林,2017-02-09,-3.9,,6.3,47.4
272,康林,2017-02-10,-6,,5.8,42.8
272,康林,2017-02-11,-4.8,,6.4,45.9
272,康林,2017-02-12,-1.4,,5.5,45.6
272,康林,2017-02-13,-.3,,3.2,53.6
272,康林,2017-02-14,.6,,2.7,51.6
272,康林,2017-02-15,.9,,3,42.8
272,康林,2017-02-16,4.5,.2,1.8,51.9
272,康林,2017-02-17,4.5,3,5.2,58.4
272,康林,2017-02-18,-1.7,,6.2,42.4
272,康林,2017-02-19,.7,5.5,1.7,56.6
272,康林,2017-02-20,.9,8.5,4.9,58
272,康林,2017-02-21,-1.4,,1.8,56.4
272,康林,2017-02-22,1.9,12,1.8,79.5
272,康林,2017-02-23,.3,,6.2,57.5
272,康林,2017-02-24,-.5,,5,46.1
272,康林,2017-02-25,2.1,,4.3,49.5
272,康林,2017-02-26,2.1,,1.8,57.5
272,康林,2017-02-27,3.4,,1.6,63.3
272,康林,2017-02-28,3.1,,2.5,58.3
272,康林,2017-03-01,4.8,,1.9,50.6
272,康林,2017-03-02,2.5,,5.1,66.4
272,康林,2017-03-03,2,,3.6,51.5
272,康林,2017-03-04,4,,1.8,53.6
272,康林,2017-03-05,5.8,,2.6,54.6
272,康林,2017-03-06,1.9,.5,5.6,42.3
272,康林,2017-03-07,-1.1,0,5.4,39.8
272,康林,2017-03-08,0,,5.3,46.8
272,康林,2017-03-09,3.8,,5.3,40.4
272,康林,2017-03-10,4.6,,4.4,35.5
272,康林,2017-03-11,5.3,,2.3,35.4
272,康林,2017-03-12,7.9,,2.7,39.6
272,康林,2017-03-13,8.3,,3.4,44.5
272,康林,2017-03-14,3.6,0,2.5,60.9
272,康林,2017-03-15,2.8,,1.7,50.9
272,康林,2017-03-16,5.4,,2.6,46.9
272,康林,2017-03-17,6.2,,1.9,39.1
272,康林,2017-03-18,7.9,,2.7,38.8
272,康林,2017-03-19,8.1,,1.6,39.4
272,康林,2017-03-20,7.9,,1.5,46.4
272,康林,2017-03-21,6.9,,3.9,53.8
272,康林,2017-03-22,6,,2.9,45.8
272,康林,2017-03-23,8.3,,2.6,40
272,康林,2017-03-24,7.5,,1.8,51.5
272,康林,2017-03-25,3.5,13,.9,81
272,康林,2017-03-26,5,1,1.6,78
272,康林,2017-03-27,5,4,4.6,68.4
272,康林,2017-03-28,6.5,,2.8,58.6
272,康林,2017-03-29,8.9,,2.4,46.5
272,康林,2017-03-30,9.5,,1.7,49.1
272,康林,2017-03-31,6.3,7.5,1.3,76.8
272,康林,2017-04-01,5.2,7.5,1.2,80.8
272,康林,2017-04-02,7.4,,2.6,55.4
272,康林,2017-04-03,11.9,,4.9,33.3
272,康林,2017-04-04,13,,2.6,37.6
272,康林,2017-04-05,11.2,32.5,1.2,65.1
272,康林,2017-04-06,13.5,14.5,2.7,77.4
272,康林,2017-04-07,14,,2.1,62.5
272,康林,2017-04-08,16.1,,3.1,53.9
272,康林,2017-04-09,11.2,,2.5,53.5
272,康林,2017-04-10,11.2,,2.4,40.9
272,康林,2017-04-11,11.5,13.5,2.9,62.1
272,康林,2017-04-12,12.1,,5.2,23
272,康林,2017-04-13,12.9,,3.2,37.8
272,康林,2017-04-14,13.5,0,2.7,48.4
272,康林,2017-04-15,17.4,,2.5,47
272,康林,2017-04-16,17.2,,2.5,44.9
272,康林,2017-04-17,12,25.5,1.9,73.6
272,康林,2017-04-18,12.4,6,3.7,67
272,康林,2017-04-19,12.8,,6.9,38.8
272,康林,2017-04-20,11.5,,1.9,52.3
272,康林,2017-04-21,11.8,,2,60.9
272,康林,2017-04-22,12,0,1.9,65.3
272,康林,2017-04-23,14.2,,2.6,48.6
272,康林,2017-04-24,15.3,,2.6,39.8
272,康林,2017-04-25,16.7,,2.3,44.9
