瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%)
159,何魂,2019-01-01,1,,4.2,41.9
159,何魂,2019-01-02,1.2,,3.2,34.6
159,何魂,2019-01-03,3,,3.5,22
159,何魂,2019-01-04,5,,3.1,22.3
159,何魂,2019-01-05,5.5,,2.9,31.8
159,何魂,2019-01-06,4.4,,2.1,30.5
159,何魂,2019-01-07,4.4,,3.5,22.8
159,何魂,2019-01-08,3.2,,3,35.5
159,何魂,2019-01-09,2.3,,3,36.8
159,何魂,2019-01-10,4.8,,3.3,35.1
159,何魂,2019-01-11,6.2,,2.6,54.9
159,何魂,2019-01-12,6.2,.7,3.2,78.8
159,何魂,2019-01-13,6.8,,2.5,56.1
159,何魂,2019-01-14,7.3,,1.5,43.8
159,何魂,2019-01-15,5.6,,3.3,42.3
159,何魂,2019-01-16,0,,3.5,28.9
159,何魂,2019-01-17,2.4,,3.3,43.5
159,何魂,2019-01-18,5.5,,3.1,30.4
159,何魂,2019-01-19,7.5,.5,2.5,49.1
159,何魂,2019-01-20,5.5,.2,3.1,46.1
159,何魂,2019-01-21,2.8,,3.6,34.6
159,何魂,2019-01-22,5.5,,2.7,43.8
159,何魂,2019-01-23,6.5,,3.3,44.3
159,何魂,2019-01-24,5.7,,2.6,30
159,何魂,2019-01-25,4.2,,3.1,25.1
159,何魂,2019-01-26,1,,4.2,25
159,何魂,2019-01-27,3.9,,3.7,29.1
159,何魂,2019-01-28,5.3,,4.5,37.4
159,何魂,2019-01-29,5.2,,1.7,46
159,何魂,2019-01-30,8.6,,3.3,35.9
159,何魂,2019-01-31,2.2,11.3,3.7,73.4
159,何魂,2019-02-01,.4,,4.2,51.5
159,何魂,2019-02-02,4.2,,3.2,55.1
159,何魂,2019-02-03,11.6,21.4,4.8,84.9
159,何魂,2019-02-04,6.8,,3.3,28.5
159,何魂,2019-02-05,8,,2.1,40.4
159,何魂,2019-02-06,10.5,,3,45.6
159,何魂,2019-02-07,8.3,0,3.8,45
159,何魂,2019-02-08,3.2,,3.2,40
159,何魂,2019-02-09,2.5,,3.4,28.5
159,何魂,2019-02-10,4,0,2.4,48
159,何魂,2019-02-11,2.9,,3.2,29.9
159,何魂,2019-02-12,4,,3.6,33.1
159,何魂,2019-02-13,4.6,,3.1,31.8
159,何魂,2019-02-14,5.2,,2.7,54.5
159,何魂,2019-02-15,6.3,1.3,3,62.9
159,何魂,2019-02-16,3.2,,3.3,42.8
159,何魂,2019-02-17,3.2,,2.9,30.9
159,何魂,2019-02-18,6.5,0,2.3,28.3
159,何魂,2019-02-19,7.1,28.8,2.6,89.9
159,何魂,2019-02-20,5.6,,3.1,54.3
159,何魂,2019-02-21,6.9,,2.2,56.5
159,何魂,2019-02-22,9,,1.7,60.1
159,何魂,2019-02-23,9.2,,3.3,55.1
159,何魂,2019-02-24,9,,2.7,54.3
159,何魂,2019-02-25,10.8,,2.5,50.6
159,何魂,2019-02-26,10.9,,1.6,57.5
159,何魂,2019-02-27,10.4,0,2.2,62.5
159,何魂,2019-02-28,10.6,0,2.1,63.3
159,何魂,2019-03-01,10.6,,2,47.9
159,何魂,2019-03-02,10.7,,2.4,54.5
159,何魂,2019-03-03,11.5,,2.8,52.8
159,何魂,2019-03-04,11.4,0,2.5,52.6
159,何魂,2019-03-05,12,,2.9,54.8
159,何魂,2019-03-06,10.7,1.1,1.7,67.3
159,何魂,2019-03-07,9.7,,2.4,58.4
